time,open,high,low,close,tick_volume,spread,real_volume
2007-02-12,0.9051,0.9087,0.9047,0.907,3739,100,0
2007-02-13,0.9068,0.9096,0.9052,0.9086,6948,100,0
2007-02-14,0.9084,0.9144,0.9084,0.9122,7891,100,0
2007-02-15,0.9123,0.9162,0.9103,0.9111,7643,100,0
2007-02-16,0.911,0.9158,0.9104,0.9148,5402,100,0
2007-02-19,0.915,0.9175,0.913,0.915,3949,100,0
2007-02-20,0.9149,0.9203,0.9136,0.9199,5756,100,0
2007-02-21,0.92,0.924,0.9151,0.9176,7050,100,0
2007-02-22,0.9174,0.9187,0.913,0.9163,6096,100,0
2007-02-23,0.9162,0.9182,0.9134,0.9175,5491,100,0
2007-02-26,0.9177,0.9217,0.9165,0.9204,5639,100,0
2007-02-27,0.9207,0.9241,0.9173,0.9185,7477,100,0
2007-02-28,0.9184,0.9247,0.9161,0.9213,8444,100,0
2007-03-01,0.9212,0.9231,0.9172,0.9188,9375,100,0
2007-03-02,0.9187,0.9219,0.916,0.9204,7538,100,0
2007-03-05,0.9194,0.9198,0.907,0.9073,9374,100,0
2007-03-06,0.9072,0.9139,0.906,0.9107,7550,100,0
2007-03-07,0.911,0.9179,0.91,0.9147,6704,100,0
2007-03-08,0.9148,0.9181,0.9126,0.9166,5329,100,0
2007-03-09,0.917,0.9201,0.9126,0.9141,5518,100,0
2007-03-12,0.9148,0.9218,0.9119,0.9211,5153,100,0
2007-03-14,0.9162,0.9254,0.9154,0.9244,6011,100,0
2007-03-15,0.9245,0.9291,0.9214,0.9269,5375,100,0
2007-03-16,0.9268,0.936,0.9261,0.9352,6162,100,0
2007-03-19,0.9339,0.9448,0.9327,0.9422,7097,100,0
2007-03-20,0.9424,0.9435,0.9295,0.9324,7806,100,0
2007-03-21,0.9322,0.9342,0.9267,0.9339,6894,100,0
2007-03-22,0.934,0.937,0.9311,0.9322,6079,100,0
2007-03-23,0.9323,0.9352,0.9299,0.9334,5479,100,0
2007-03-26,0.9337,0.942,0.933,0.94,5232,100,0
2007-03-27,0.9402,0.9405,0.933,0.934,5746,100,0
2007-03-28,0.9341,0.9361,0.9295,0.9334,4441,100,0
2007-03-29,0.9333,0.939,0.9322,0.935,4947,100,0
2007-03-30,0.9351,0.9362,0.9293,0.9325,6362,100,0
2007-04-02,0.933,0.9448,0.9314,0.9443,6104,100,0
2007-04-03,0.9444,0.9448,0.9383,0.9416,5330,100,0
2007-04-04,0.9417,0.9493,0.9334,0.9481,6729,100,0
2007-04-05,0.9482,0.9511,0.9407,0.9431,5456,100,0
2007-04-06,0.9429,0.944,0.9373,0.9393,2251,100,0
2007-04-09,0.9389,0.9418,0.9376,0.9409,2833,100,0
2007-04-10,0.941,0.9487,0.9399,0.9468,7270,100,0
2007-04-11,0.9467,0.9474,0.9379,0.9388,5761,100,0
2007-04-12,0.9391,0.9429,0.938,0.9404,6280,100,0
2007-04-13,0.9405,0.9483,0.9403,0.9478,5960,100,0
2007-04-16,0.9479,0.9494,0.9398,0.9419,5082,100,0
2007-04-17,0.942,0.9471,0.9407,0.9461,5300,100,0
2007-04-18,0.9462,0.9475,0.94,0.9455,7866,100,0
2007-04-19,0.9457,0.946,0.9349,0.9433,8000,100,0
2007-04-20,0.9436,0.9449,0.9369,0.9407,4936,100,0
2007-04-23,0.9398,0.94,0.9327,0.9333,4968,100,0
2007-04-24,0.9334,0.9354,0.9231,0.9279,7872,100,0
2007-04-25,0.928,0.9362,0.9273,0.931,6199,100,0
2007-04-26,0.9306,0.9315,0.9236,0.9267,6271,100,0
2007-04-27,0.9268,0.9287,0.9233,0.926,4426,100,0
2007-04-30,0.9246,0.9252,0.9191,0.9203,6060,100,0
2007-05-01,0.9204,0.9223,0.9165,0.9192,5776,100,0
2007-05-02,0.9191,0.9203,0.9118,0.9124,6683,100,0
2007-05-03,0.9125,0.9149,0.9098,0.9116,3927,100,0
2007-05-04,0.9115,0.912,0.9015,0.9095,4549,100,0
2007-05-07,0.9086,0.9128,0.9077,0.9084,4376,100,0
2007-05-08,0.9083,0.9168,0.9081,0.9159,5675,100,0
2007-05-09,0.916,0.9186,0.9132,0.9146,4594,100,0
2007-05-10,0.9147,0.9225,0.9142,0.9171,6790,100,0
2007-05-11,0.917,0.9281,0.9147,0.9229,6767,100,0
2007-05-14,0.9237,0.9279,0.9194,0.9199,5576,100,0
2007-05-15,0.92,0.9211,0.9122,0.9153,5696,100,0
2007-05-16,0.9152,0.9161,0.9074,0.9087,5885,100,0
2007-05-17,0.9086,0.912,0.9006,0.9046,5781,100,0
2007-05-18,0.9047,0.9053,0.8946,0.8953,6535,100,0
2007-05-21,0.897,0.8979,0.8874,0.8901,6025,100,0
2007-05-22,0.8902,0.8927,0.8887,0.8897,5797,100,0
2007-05-23,0.8896,0.8954,0.8896,0.8908,5777,100,0
2007-05-24,0.8906,0.892,0.8863,0.8871,5631,100,0
2007-05-25,0.8872,0.8897,0.882,0.8831,5502,100,0
2007-05-28,0.8834,0.8859,0.8828,0.8843,1808,100,0
2007-05-29,0.8844,0.8885,0.8769,0.8779,4352,100,0
2007-05-30,0.878,0.8847,0.8744,0.8838,5891,100,0
2007-05-31,0.8837,0.8863,0.881,0.8845,6378,100,0
2007-06-01,0.8844,0.8874,0.8804,0.8832,5976,100,0
2007-06-04,0.8833,0.8833,0.8785,0.8822,5004,100,0
2007-06-05,0.8823,0.8905,0.8816,0.8898,6348,100,0
2007-06-06,0.8897,0.8944,0.8883,0.8898,5321,100,0
2007-06-07,0.8897,0.8973,0.889,0.8951,5930,100,0
2007-06-08,0.8949,0.8985,0.8922,0.8957,11588,100,0
2007-06-11,0.8954,0.8966,0.8909,0.8935,4829,100,0
2007-06-12,0.8938,0.8981,0.8924,0.8962,4779,100,0
2007-06-13,0.8963,0.9005,0.8946,0.8953,9175,100,0
2007-06-14,0.8955,0.897,0.8895,0.8917,4303,100,0
2007-06-15,0.8924,0.8991,0.8882,0.8988,2823,100,0
2007-06-18,0.8983,0.9046,0.8962,0.902,4224,100,0
2007-06-19,0.9019,0.9039,0.8976,0.8988,4262,100,0
2007-06-20,0.8985,0.9038,0.8973,0.8985,4942,100,0
2007-06-21,0.8984,0.9106,0.8984,0.9098,4385,100,0
2007-06-22,0.9096,0.9114,0.9035,0.9048,4185,100,0
2007-06-25,0.9044,0.91,0.9043,0.9064,6564,100,0
2007-06-26,0.9065,0.9094,0.9035,0.9045,4670,100,0
2007-06-27,0.9044,0.9049,0.8948,0.8966,6040,100,0
2007-06-28,0.8967,0.9008,0.8942,0.8968,8189,100,0
2007-06-29,0.8967,0.906,0.8901,0.9043,7379,100,0
2007-07-02,0.9058,0.9076,0.9026,0.9066,7468,100,0
2007-07-03,0.9068,0.9082,0.9023,0.9064,7256,100,0
2007-07-04,0.9063,0.909,0.9047,0.9069,4537,100,0
2007-07-05,0.9068,0.9102,0.9031,0.9034,4606,100,0
2007-07-06,0.9033,0.9056,0.8969,0.9001,4523,100,0
2007-07-09,0.8995,0.9034,0.8973,0.9017,4349,100,0
2007-07-10,0.9016,0.909,0.8992,0.9072,6352,100,0
2007-07-11,0.9073,0.9134,0.9049,0.9099,9233,100,0
2007-07-12,0.9096,0.9102,0.9032,0.9053,6472,100,0
2007-07-13,0.9054,0.9127,0.9047,0.9123,5647,100,0
2007-07-16,0.9116,0.916,0.9078,0.9095,4583,100,0
2007-07-17,0.9094,0.9136,0.9085,0.9098,4246,100,0
2007-07-18,0.9099,0.9185,0.9089,0.9153,5818,100,0
2007-07-19,0.9155,0.9191,0.914,0.9177,5887,100,0
