time,open,high,low,close,tick_volume,spread,real_volume
2007-02-12,0.9677,0.9703,0.966,0.9671,3466,80,0
2007-02-13,0.9672,0.9728,0.9643,0.9711,7963,80,0
2007-02-14,0.9712,0.9736,0.9697,0.9706,9619,80,0
2007-02-15,0.9707,0.973,0.9671,0.9676,9696,80,0
2007-02-16,0.9673,0.9716,0.9669,0.9716,6934,80,0
2007-02-19,0.9691,0.9728,0.9678,0.9691,5361,80,0
2007-02-20,0.969,0.9736,0.968,0.9718,6225,80,0
2007-02-21,0.9719,0.9801,0.971,0.9789,8430,80,0
2007-02-22,0.979,0.9815,0.9759,0.977,7954,80,0
2007-02-23,0.9768,0.9787,0.9732,0.9753,6959,80,0
2007-02-26,0.9752,0.9776,0.9737,0.9759,6963,80,0
2007-02-27,0.976,0.9765,0.9561,0.9582,10068,80,0
2007-02-28,0.9581,0.9642,0.9563,0.96,10927,80,0
2007-03-01,0.9599,0.9613,0.9527,0.9585,11150,80,0
2007-03-02,0.9583,0.962,0.9498,0.9512,9781,80,0
2007-03-05,0.9506,0.9506,0.9378,0.938,12528,80,0
2007-03-06,0.9377,0.9485,0.937,0.9473,9312,80,0
2007-03-07,0.9477,0.9523,0.9443,0.9447,8550,80,0
2007-03-08,0.9446,0.955,0.9425,0.9539,8037,80,0
2007-03-09,0.9541,0.9644,0.9538,0.9626,7280,80,0
2007-03-12,0.9633,0.9655,0.9572,0.963,7125,80,0
2007-03-14,0.9501,0.9587,0.9486,0.9585,9114,80,0
2007-03-15,0.9586,0.963,0.9545,0.9584,8305,80,0
2007-03-16,0.9585,0.9619,0.9547,0.9603,9223,80,0
2007-03-19,0.9572,0.9732,0.9564,0.9712,9670,80,0
2007-03-20,0.9713,0.9739,0.9662,0.973,9217,80,0
2007-03-21,0.9729,0.9776,0.9699,0.977,7322,80,0
2007-03-22,0.9772,0.981,0.9737,0.9783,7796,80,0
2007-03-23,0.9784,0.982,0.9774,0.9809,7334,80,0
2007-03-26,0.9807,0.9864,0.9787,0.9842,7560,80,0
2007-03-27,0.9841,0.9858,0.9783,0.9784,6847,80,0
2007-03-28,0.9785,0.9806,0.9737,0.9796,6495,80,0
2007-03-29,0.9795,0.9848,0.9792,0.9831,6653,80,0
2007-03-30,0.9829,0.9879,0.9803,0.9824,7930,80,0
2007-04-02,0.9825,0.993,0.9811,0.9923,7803,80,0
2007-04-03,0.9922,0.9946,0.989,0.9935,7427,80,0
2007-04-04,0.9934,0.999,0.9859,0.9983,9474,80,0
2007-04-05,0.9982,1.0008,0.9929,0.9954,7035,80,0
2007-04-06,0.9953,0.9991,0.9939,0.9972,3536,80,0
2007-04-09,0.9976,1.002,0.9963,1.0014,3875,80,0
2007-04-10,1.0015,1.0076,1.0003,1.0049,8242,80,0
2007-04-11,1.005,1.0084,1.0025,1.007,7001,80,0
2007-04-12,1.0069,1.0098,1.0033,1.0083,8024,80,0
2007-04-13,1.0082,1.0127,1.0046,1.012,8351,80,0
2007-04-16,1.0116,1.0134,1.0084,1.0108,6702,80,0
2007-04-17,1.0107,1.0128,1.008,1.0105,7265,80,0
2007-04-18,1.0106,1.0113,1.0028,1.0094,9166,80,0
2007-04-19,1.0095,1.0097,0.9954,1.0069,10049,80,0
2007-04-20,1.0071,1.0121,1.0044,1.0118,5813,80,0
