time,open,high,low,close,tick_volume,spread,real_volume
2007-02-12,1.1276,1.1308,1.125,1.1298,1340,120,0
2007-02-13,1.1296,1.1305,1.1257,1.13,2788,120,0
2007-02-14,1.1297,1.1326,1.1263,1.1289,3356,120,0
2007-02-15,1.129,1.1319,1.1258,1.1305,3301,120,0
2007-02-16,1.1307,1.1307,1.1252,1.1275,2199,120,0
2007-02-19,1.1238,1.1246,1.1194,1.1219,2008,120,0
2007-02-20,1.1223,1.1232,1.1192,1.1204,1812,120,0
2007-02-21,1.1202,1.1246,1.1174,1.1195,3075,120,0
2007-02-22,1.1197,1.1218,1.1159,1.1185,2423,120,0
2007-02-23,1.1187,1.1214,1.1166,1.1198,2183,120,0
2007-02-26,1.1175,1.1191,1.1139000000000001,1.1164,2122,120,0
2007-02-27,1.1162,1.1289,1.1155,1.1252,3723,120,0
2007-02-28,1.1249,1.1286,1.121,1.1235,3916,120,0
2007-03-01,1.1239,1.1347,1.1189,1.1313,4291,120,0
2007-03-02,1.1311,1.1423,1.1293,1.1359,4065,120,0
2007-03-05,1.1349,1.1474,1.1345,1.1415,6421,120,0
2007-03-06,1.1417,1.1429,1.1313,1.1315,5949,120,0
2007-03-07,1.1318,1.1465,1.1304,1.1439,5515,120,0
2007-03-08,1.1441,1.1465,1.1303,1.133,4685,120,0
2007-03-09,1.1326,1.1331,1.1276,1.1292,4059,120,0
2007-03-12,1.1244,1.1326,1.1239,1.1275,4181,120,0
2007-03-14,1.1396,1.1417,1.1336,1.1345,5486,120,0
2007-03-15,1.1336,1.1381000000000001,1.1314,1.1341,4462,120,0
2007-03-16,1.1344,1.1415,1.1325,1.1411,4606,120,0
2007-03-19,1.1407,1.1421999999999999,1.1360999999999999,1.1400000000000001,4851,120,0
2007-03-20,1.1401,1.141,1.1335,1.1372,5262,120,0
2007-03-21,1.1371,1.1395,1.1345,1.1368,4901,120,0
2007-03-22,1.1369,1.1388,1.1293,1.1326,5062,120,0
2007-03-23,1.1328,1.1352,1.1273,1.131,5853,120,0
2007-03-26,1.1351,1.1353,1.1268,1.1294,6088,120,0
2007-03-27,1.1295,1.1297,1.1227,1.1258,7497,120,0
2007-03-28,1.1262,1.137,1.1251,1.1345,6538,120,0
2007-03-29,1.1343,1.1356,1.126,1.1280999999999999,7516,120,0
2007-03-30,1.1282,1.1346,1.1273,1.1316,8051,120,0
2007-04-02,1.133,1.1365,1.1277,1.1293,8702,120,0
2007-04-03,1.1294,1.1312,1.1262,1.1283,7564,120,0
2007-04-04,1.1284,1.1365,1.1217,1.1342,10351,120,0
2007-04-05,1.1343,1.1369,1.13,1.1334,7550,120,0
2007-04-06,1.1332,1.1342,1.129,1.1327,2675,120,0
2007-04-09,1.1313,1.1345,1.1267,1.133,3798,120,0
2007-04-10,1.1343,1.1373,1.1293,1.1327,8711,120,0
2007-04-11,1.1328,1.1345,1.1303,1.1320000000000001,6903,120,0
2007-04-12,1.1320999999999999,1.1376,1.1305,1.1351,7277,120,0
2007-04-13,1.1352,1.1358,1.127,1.1292,7886,120,0
2007-04-16,1.1277,1.1280000000000001,1.1231,1.1248,6988,120,0
2007-04-17,1.125,1.127,1.1215,1.1236,7089,120,0
2007-04-18,1.1233,1.1274,1.1157,1.1213,8651,120,0
2007-04-19,1.1211,1.1265,1.1202,1.1221,9929,120,0
2007-04-20,1.1223,1.1233,1.1176,1.1194,6308,120,0
2007-04-23,1.1187,1.1233,1.1157,1.1173,6439,120,0
2007-04-24,1.1174,1.1195,1.1113,1.1135,9783,120,0
