time,open,high,low,close,tick_volume,spread,real_volume
1999-01-04,0.6165,0.6232,0.6155,0.622,1044,50,0
1999-01-05,0.6218,0.6255,0.621,0.6215,1103,50,0
1999-01-06,0.6217,0.6302,0.6193,0.6289,1412,50,0
1999-01-07,0.6286,0.6372,0.6277,0.6345,1468,50,0
1999-01-08,0.6347,0.6355,0.631,0.6347,1225,50,0
1999-01-11,0.6345,0.6416,0.6325,0.6393,1318,50,0
1999-01-12,0.6396,0.644,0.6346,0.6362,1908,50,0
1999-01-13,0.6358,0.6381,0.6282,0.6312,1829,50,0
1999-01-14,0.631,0.637,0.6276,0.6295,1593,50,0
1999-01-15,0.6307,0.636,0.6287,0.634,1604,50,0
1999-01-18,0.6343,0.6373,0.6327,0.6346,1430,50,0
1999-01-19,0.6344,0.6402,0.6321,0.6392,1733,50,0
1999-01-20,0.6388,0.6417,0.6379,0.64,1901,50,0
1999-01-21,0.6401,0.6459,0.6357,0.6405,1946,50,0
1999-01-22,0.6402,0.6407,0.6316,0.6327,1875,50,0
1999-01-25,0.6333,0.634,0.6297,0.6302,1413,50,0
1999-01-26,0.631,0.6331,0.6283,0.6305,1755,50,0
1999-01-27,0.6302,0.6326,0.6265,0.6285,2118,50,0
1999-01-28,0.6292,0.6292,0.6232,0.627,1901,50,0
1999-01-29,0.6277,0.6315,0.6265,0.6302,1677,50,0
1999-02-01,0.6315,0.6371,0.6303,0.6359,1627,50,0
1999-02-02,0.636,0.6408,0.635,0.6384,1724,50,0
1999-02-03,0.638,0.6442,0.6367,0.642,1622,50,0
1999-02-04,0.6417,0.65,0.6372,0.6477,1790,50,0
1999-02-05,0.6478,0.654,0.6475,0.6509,2026,50,0
1999-02-08,0.6518,0.654,0.6482,0.6496,1552,50,0
1999-02-09,0.6489,0.6499,0.645,0.6457,1841,50,0
1999-02-10,0.6459,0.6485,0.643,0.6467,1937,50,0
1999-02-11,0.6466,0.6516,0.6445,0.6473,1646,50,0
1999-02-12,0.6472,0.6478,0.6392,0.6467,1850,50,0
1999-02-15,0.6472,0.6501,0.6449,0.645,1296,50,0
1999-02-16,0.6451,0.6458,0.6335,0.6354,1851,50,0
1999-02-17,0.6352,0.6374,0.6312,0.6357,1566,50,0
1999-02-18,0.6356,0.638,0.6336,0.6365,1377,50,0
1999-02-19,0.6364,0.6415,0.6347,0.6405,1564,50,0
1999-02-22,0.6412,0.6414,0.6352,0.641,1857,50,0
1999-02-23,0.6414,0.6417,0.6364,0.6405,1876,50,0
1999-02-24,0.6407,0.6407,0.6297,0.6333,1823,50,0
1999-02-25,0.6332,0.6334,0.6235,0.6252,1742,50,0
1999-02-26,0.6247,0.625,0.6176,0.6187,1776,50,0
1999-03-01,0.6189,0.622,0.6162,0.6203,1770,50,0
1999-03-02,0.6204,0.624,0.618,0.6217,1718,50,0
1999-03-03,0.6216,0.627,0.621,0.622,1686,50,0
1999-03-04,0.6218,0.6277,0.6186,0.6267,1645,50,0
1999-03-05,0.6262,0.6295,0.6247,0.6282,1233,50,0
1999-03-08,0.6292,0.6323,0.6263,0.6314,1142,50,0
1999-03-09,0.6315,0.637,0.63,0.6346,1809,50,0
1999-03-10,0.6345,0.6387,0.6337,0.6367,1730,50,0
1999-03-11,0.6373,0.6392,0.6327,0.6375,1885,50,0
1999-03-12,0.6372,0.6372,0.6329,0.6363,1551,50,0
1999-03-15,0.6353,0.6353,0.6277,0.6291,1483,50,0
1999-03-16,0.6291,0.6292,0.624,0.6249,1348,50,0
1999-03-17,0.6248,0.6286,0.6235,0.6277,1646,50,0
1999-03-18,0.6276,0.632,0.6268,0.6287,1848,50,0
1999-03-19,0.6284,0.631,0.6267,0.6305,1423,50,0
1999-03-22,0.6307,0.6377,0.6296,0.6372,1498,50,0
1999-03-23,0.6371,0.6407,0.6354,0.639,1859,50,0
1999-03-24,0.6392,0.6421,0.6362,0.6374,1517,50,0
1999-03-25,0.6373,0.6386,0.6352,0.6377,1471,50,0
1999-03-26,0.6376,0.6397,0.6332,0.6352,1529,50,0
