time,open,high,low,close,tick_volume,spread,real_volume
2007-02-12,1.0686,1.0703,1.0644,1.0657,3567,80,0
2007-02-13,1.0658,1.0697,1.0621,1.0681,6657,80,0
2007-02-14,1.0682,1.0685,1.061,1.0634,7384,80,0
2007-02-15,1.0633,1.0648,1.0591,1.0614,8636,80,0
2007-02-16,1.0613,1.0637,1.0588,1.0614,5804,80,0
2007-02-19,1.0581,1.0609,1.0578,1.0587,3710,80,0
2007-02-20,1.0585,1.0633,1.0545,1.0559,6073,80,0
2007-02-21,1.0561,1.0679,1.0543,1.0662,7020,80,0
2007-02-22,1.0663,1.0724,1.065,1.0657,7258,80,0
2007-02-23,1.0656,1.0699,1.0611,1.0625,6336,80,0
2007-02-26,1.062,1.0639,1.0584,1.0596,6036,80,0
2007-02-27,1.0597,1.0608,1.0406,1.0427,8601,80,0
2007-02-28,1.0429,1.0484,1.0398,1.0413000000000001,8877,80,0
2007-03-01,1.0414,1.0448,1.0339,1.0427,8517,80,0
2007-03-02,1.0426,1.0459,1.0324,1.0328,7164,80,0
2007-03-05,1.0333,1.0369,1.027,1.0331,9519,80,0
2007-03-06,1.0328,1.0423,1.0323,1.0396,8533,80,0
2007-03-07,1.0395,1.0418,1.032,1.0321,7174,80,0
2007-03-08,1.0322,1.0416,1.0319,1.0398,6850,80,0
2007-03-09,1.0397,1.055,1.0385,1.0526,6768,80,0
2007-03-12,1.0528,1.054,1.044,1.045,6876,80,0
2007-03-14,1.0364,1.0386,1.0276,1.0364,8218,80,0
2007-03-15,1.0363,1.0394,1.0319,1.0336,6750,80,0
2007-03-16,1.0338,1.0338,1.0243,1.0263,7881,80,0
2007-03-19,1.0246,1.0328,1.0244,1.0304,6973,80,0
2007-03-20,1.0302,1.0442,1.0284,1.0431,7517,80,0
2007-03-21,1.0433,1.0503,1.0422,1.0457,6452,80,0
2007-03-22,1.0456,1.0518,1.0442,1.0487,6619,80,0
2007-03-23,1.0486,1.0517,1.046,1.0495,5960,80,0
2007-03-26,1.0497,1.0522,1.0436,1.0465,6098,80,0
2007-03-27,1.0466,1.0521,1.0458,1.0468,6685,80,0
2007-03-28,1.0469,1.0507,1.0427,1.0488,7592,80,0
2007-03-29,1.0489,1.0528,1.0459,1.0509,5518,80,0
2007-03-30,1.051,1.0617,1.0489,1.0529,7453,80,0
2007-04-02,1.0528,1.0561,1.0484,1.0502,6107,80,0
2007-04-03,1.0501,1.0552,1.0497,1.0547,5935,80,0
2007-04-04,1.0546,1.0567,1.0514000000000001,1.0523,6365,80,0
2007-04-05,1.0524,1.0589,1.0513,1.0549,5670,80,0
2007-04-06,1.0548,1.0623,1.0545,1.0611,2960,80,0
2007-04-09,1.0618,1.0658,1.0606,1.0637,3806,80,0
2007-04-10,1.0638,1.0643,1.0583,1.0609,6858,80,0
2007-04-11,1.061,1.0721,1.06,1.072,6750,80,0
2007-04-12,1.0717,1.0735999999999999,1.0675,1.0717,7218,80,0
2007-04-13,1.0716,1.0724,1.0628,1.0672,7309,80,0
2007-04-16,1.0667,1.0737,1.0665,1.0726,5736,80,0
2007-04-17,1.0725,1.073,1.067,1.0675,6735,80,0
2007-04-18,1.0676,1.0695999999999999,1.0621,1.067,8325,80,0
2007-04-19,1.0671,1.0702,1.0625,1.0668,8286,80,0
2007-04-20,1.0669,1.0764,1.066,1.075,5770,80,0
2007-04-23,1.0747,1.0795,1.0735,1.0775,6006,80,0
2007-04-24,1.0777,1.0783,1.0697,1.0707,7786,80,0
2007-04-25,1.0705,1.0814,1.0695000000000001,1.0796000000000001,7178,80,0
2007-04-26,1.0795,1.0813,1.0757,1.0772,7293,80,0
2007-04-27,1.077,1.0833,1.0757,1.0795,8204,80,0
2007-04-30,1.079,1.092,1.0776,1.0876,7872,80,0
2007-05-01,1.0875,1.0969,1.0863,1.0919,7337,80,0
2007-05-02,1.0918,1.097,1.0902,1.0964,7363,80,0
2007-05-03,1.0963,1.0995,1.0915,1.0973,7908,80,0
2007-05-04,1.0974,1.1019,1.0921,1.0935,7967,80,0
2007-05-07,1.0933,1.0994,1.0919,1.0989,5208,80,0
2007-05-08,1.0991,1.1044,1.0981,1.1005,6253,80,0
2007-05-09,1.1006,1.1032,1.0973,1.1016,6979,80,0
2007-05-10,1.1015,1.1027,1.0966,1.0967,7503,80,0
2007-05-11,1.0966,1.1001,1.0903,1.0973,7267,80,0
2007-05-14,1.096,1.1026,1.0943,1.1017,6268,80,0
2007-05-15,1.1019,1.1108,1.0989,1.1059,7540,80,0
2007-05-16,1.1058,1.1091,1.1038000000000001,1.1078000000000001,6613,80,0
2007-05-17,1.1078999999999999,1.1179999999999999,1.1039,1.1156,6325,80,0
2007-05-18,1.1157,1.1276,1.1151,1.127,7060,80,0
2007-05-21,1.1269,1.1359,1.1258,1.1337,7024,80,0
2007-05-22,1.1338,1.1365,1.13,1.1311,6823,80,0
2007-05-23,1.131,1.1347,1.1271,1.1331,7255,80,0
2007-05-24,1.133,1.138,1.1308,1.1315,7021,80,0
2007-05-25,1.1314,1.138,1.1292,1.1366,6996,80,0
2007-05-28,1.1367,1.1378,1.1345,1.1377,3704,80,0
2007-05-29,1.1375,1.1415,1.1274,1.1409,9120,80,0
2007-05-30,1.1408,1.1465,1.1385,1.1404,7494,80,0
2007-05-31,1.1406,1.1471,1.1401,1.1447,7730,80,0
2007-06-01,1.1448,1.1602999999999999,1.1434,1.1589,7261,80,0
2007-06-04,1.1581,1.1633,1.1543,1.1565,7527,80,0
2007-06-05,1.1562999999999999,1.1566,1.144,1.1452,8495,80,0
2007-06-06,1.1453,1.1521,1.1441,1.1498,8412,80,0
2007-06-07,1.1497,1.1572,1.1471,1.1494,8739,80,0
2007-06-08,1.1495,1.1656,1.149,1.1639,9803,80,0
2007-06-11,1.1641,1.1683,1.1627,1.1676,6571,80,0
2007-06-12,1.1675,1.1702,1.1623999999999999,1.1634,7320,80,0
2007-06-13,1.1633,1.1678,1.1589,1.166,9017,80,0
2007-06-14,1.1659,1.1683,1.1637,1.1666,8791,80,0
2007-06-15,1.1665,1.1731,1.1617,1.1619,10370,80,0
2007-06-18,1.1628,1.165,1.1526,1.1591,8494,80,0
2007-06-19,1.1589,1.1683,1.156,1.1673,7856,80,0
2007-06-20,1.1672,1.1677,1.1561,1.1605,7638,80,0
2007-06-21,1.1606,1.166,1.1538,1.1555,7776,80,0
2007-06-22,1.1554,1.1568,1.1479,1.1503,8235,80,0
2007-06-25,1.1495,1.1504,1.1435,1.1477,7093,80,0
2007-06-26,1.1476,1.1505,1.144,1.1467,7833,80,0
2007-06-27,1.1468,1.1487,1.1442,1.1486,7894,80,0
2007-06-28,1.1485,1.1645,1.1473,1.1616,9081,80,0
2007-06-29,1.1615,1.1723,1.1459,1.1461999999999999,10007,80,0
2007-07-02,1.1482,1.1508,1.1431,1.1453,8703,80,0
2007-07-03,1.1451,1.1511,1.1429,1.1453,7643,80,0
2007-07-04,1.1452,1.1517,1.145,1.1496,4992,80,0
2007-07-05,1.1497,1.153,1.1439,1.1527,6185,80,0
2007-07-06,1.1529,1.1629,1.1517,1.1602999999999999,7166,80,0
2007-07-09,1.1605,1.1649,1.158,1.1595,6626,80,0
2007-07-10,1.1596,1.1607,1.1377,1.138,9385,80,0
2007-07-11,1.1381000000000001,1.1447,1.1324,1.1429,10361,80,0
2007-07-12,1.143,1.1515,1.1413,1.1506,7993,80,0
2007-07-13,1.1503,1.1517,1.1432,1.1475,6368,80,0
2007-07-16,1.1466,1.154,1.1461999999999999,1.1522999999999999,7854,80,0
2007-07-17,1.1525,1.1532,1.1473,1.1517,8696,80,0
2007-07-18,1.1519,1.1535,1.1467,1.1501000000000001,11511,80,0
2007-07-19,1.1499,1.1546,1.1468,1.1534,7154,80,0
2007-07-20,1.1535,1.1555,1.1435,1.1446,7419,80,0
2007-07-23,1.1447,1.1557,1.1432,1.1519,8261,80,0
2007-07-24,1.1518,1.1654,1.149,1.1591,9168,80,0
2007-07-25,1.1587,1.1696,1.1587,1.1645,10017,80,0
2007-07-26,1.1643,1.1656,1.1377,1.1385,11618,80,0
2007-07-27,1.1386,1.1501000000000001,1.1338,1.1351,15808,80,0
2007-07-30,1.135,1.1360000000000001,1.1231,1.1283,10247,80,0
2007-07-31,1.1285,1.1381000000000001,1.1248,1.1248,12628,80,0
2007-08-01,1.1246,1.1413,1.1197,1.1393,14613,80,0
2007-08-02,1.1394,1.1471,1.1354,1.1435,12151,80,0
2007-08-03,1.1437,1.1447,1.1255,1.1262,11869,80,0
2007-08-06,1.1183,1.1362,1.1178,1.1338,7951,80,0
2007-08-07,1.1335,1.1372,1.1267,1.1346,9725,80,0
2007-08-08,1.1345,1.1415,1.1326,1.141,11269,80,0
2007-08-09,1.1408,1.1418,1.1258,1.1302,11023,80,0
2007-08-10,1.1306,1.1400000000000001,1.1256,1.1378,14755,80,0
2007-08-13,1.1366,1.1482999999999999,1.134,1.1431,11278,80,0
2007-08-14,1.143,1.1443,1.1328,1.1337,13342,80,0
2007-08-15,1.1336,1.1357,1.1255,1.1284,16108,80,0
2007-08-16,1.1285,1.1397,1.1196,1.1308,24875,80,0
2007-08-17,1.1311,1.1442,1.1171,1.1394,22774,80,0
2007-08-20,1.1373,1.1444,1.1344,1.1424,13271,80,0
2007-08-21,1.1425,1.1436,1.1315,1.1338,14096,80,0
2007-08-22,1.1339,1.1435,1.1305,1.1358,11338,80,0
2007-08-23,1.1357,1.152,1.1349,1.1457,13697,80,0
2007-08-24,1.1459,1.147,1.1393,1.1408,12256,80,0
2007-08-27,1.141,1.1488,1.1397,1.1403,7529,80,0
2007-08-29,1.1269,1.135,1.1263,1.1315,13676,80,0
2007-08-30,1.1317,1.1412,1.1275,1.1384,13712,80,0
2007-08-31,1.1385,1.1461000000000001,1.1352,1.1444,13807,80,0
2007-09-03,1.1439,1.1496,1.1431,1.1473,6978,80,0
2007-09-04,1.1475,1.1557,1.1434,1.1541,11298,80,0
2007-09-05,1.1536,1.1542,1.1411,1.1423,11522,80,0
2007-09-06,1.1421999999999999,1.1461999999999999,1.1369,1.1415,12018,80,0
2007-09-07,1.1416,1.1452,1.1223,1.1261,10150,80,0
2007-09-10,1.1249,1.129,1.1192,1.1265,10943,80,0
2007-09-11,1.1266,1.1424,1.1261,1.1406,15881,80,0
2007-09-12,1.1402,1.1437,1.1338,1.1418,11855,80,0
2007-09-13,1.142,1.1511,1.141,1.1441,13776,80,0
2007-09-14,1.1442,1.1582,1.1432,1.1547,12875,80,0
2007-09-17,1.1531,1.1599,1.1497,1.1552,11327,80,0
