time,open,high,low,close,tick_volume,spread,real_volume
2007-02-12,104.0,104.09,103.5,103.59,3300,60,0
2007-02-13,103.61,103.9,103.18,103.84,6771,60,0
2007-02-14,103.87,103.96,103.42,103.6,7220,60,0
2007-02-15,103.57,103.63,102.45,102.49,9782,60,0
2007-02-16,102.51,102.68,102.31,102.63,6603,60,0
2007-02-19,102.44,102.87,102.44,102.76,4125,60,0
2007-02-20,102.75,103.26,102.38,102.54,6493,60,0
2007-02-21,102.53,104.27,102.29,104.14,8994,60,0
2007-02-22,104.13,104.75,104.09,104.57,7452,60,0
2007-02-23,104.61,104.79,104.28,104.34,6827,60,0
2007-02-26,104.39,104.43,103.78,104.02,6265,60,0
2007-02-27,104.01,104.05,100.72,101.28,9494,60,0
2007-02-28,101.26,101.66,100.66,101.28,10706,60,0
2007-03-01,101.29,101.56,99.53,100.31,10920,60,0
2007-03-02,100.29,100.53,99.0,99.18,9675,60,0
2007-03-05,99.12,99.13,97.5,97.51,13639,60,0
2007-03-06,97.52,99.26,97.49,99.25,10612,60,0
2007-03-07,99.24,99.43,98.21,98.31,8774,60,0
2007-03-08,98.32,99.51,98.06,99.33,8810,60,0
2007-03-09,99.32,101.09,99.23,100.87,8767,60,0
2007-03-12,100.94,101.09,100.17,100.28,8547,60,0
2007-03-14,98.86,99.89,98.55,99.78,11137,60,0
2007-03-15,99.76,100.13,99.54,99.68,9277,60,0
2007-03-16,99.7,99.81,99.14,99.22,9258,60,0
2007-03-19,98.81,100.18,98.78,99.87,9494,60,0
2007-03-20,99.89,101.09,99.85,100.94,9815,60,0
2007-03-21,100.91,101.85,100.85,101.55,7898,60,0
2007-03-22,101.54,102.17,101.38,102.01,8221,60,0
2007-03-23,102.02,102.19,101.38,101.71,8004,60,0
2007-03-26,101.56,101.92,101.27,101.7,7624,60,0
2007-03-27,101.71,102.38,101.58,101.81,7752,60,0
2007-03-28,101.82,102.03,100.47,100.82,6448,60,0
2007-03-29,100.8,101.98,100.6,101.88,8285,60,0
2007-03-30,101.87,102.74,101.44,102.07,10052,60,0
2007-04-02,101.96,102.45,101.7,101.87,7439,60,0
2007-04-03,101.85,102.72,101.73,102.55,7314,60,0
2007-04-04,102.54,102.99,102.28,102.34,7410,60,0
2007-04-05,102.33,103.27,102.18,103.07,6816,60,0
2007-04-06,103.08,103.77,103.03,103.56,3365,60,0
2007-04-09,103.63,103.71,103.42,103.48,3409,60,0
2007-04-10,103.49,103.95,103.18,103.72,6889,60,0
2007-04-11,103.71,104.88,103.61,104.87,7173,60,0
2007-04-12,104.83,105.04,104.48,104.9,7416,60,0
2007-04-13,104.92,105.07,104.17,104.78,7869,60,0
2007-04-16,104.98,106.0,104.73,105.68,7838,60,0
2007-04-17,105.67,105.82,105.05,105.09,8494,60,0
2007-04-18,105.08,105.32,104.44,105.03,8989,60,0
2007-04-19,105.04,105.15,104.01,104.83,10668,60,0
2007-04-20,104.84,105.94,104.68,105.58,7710,60,0
2007-04-23,105.74,105.91,105.24,105.67,7679,60,0
2007-04-24,105.68,106.21,105.11,105.66,8765,60,0
2007-04-25,105.65,106.61,105.43,106.35,7451,60,0
2007-04-26,106.36,106.83,106.25,106.49,8664,60,0
2007-04-27,106.48,107.31,106.34,107.13,5991,60,0
2007-04-30,106.91,108.14,106.66,107.59,7326,60,0
2007-05-01,107.58,108.22,107.5,107.74,7445,60,0
2007-05-02,107.75,108.57,107.42,108.5,8648,60,0
2007-05-03,108.48,108.83,108.23,108.68,5270,60,0
2007-05-04,108.69,109.03,108.43,108.47,6131,60,0
2007-05-07,108.51,109.02,108.27,108.94,6394,60,0
2007-05-08,108.95,108.95,108.17,108.43,8096,60,0
2007-05-09,108.42,108.69,108.05,108.5,7389,60,0
2007-05-10,108.51,108.92,107.68,107.69,9620,60,0
2007-05-11,107.72,108.24,107.13,108.2,10666,60,0
2007-05-14,108.19,108.86,107.99,108.84,6137,60,0
2007-05-15,108.86,109.79,108.47,109.44,7213,60,0
2007-05-16,109.43,109.76,109.08,109.38,7289,60,0
2007-05-17,109.39,110.51,109.33,110.25,7303,60,0
2007-05-18,110.23,111.31,110.04,111.23,8769,60,0
2007-05-21,111.2,112.21,111.11,112.0,7484,60,0
2007-05-22,112.01,112.16,111.67,111.81,7798,60,0
2007-05-23,111.82,112.48,111.73,112.23,7929,60,0
2007-05-24,112.24,112.46,111.78,111.94,8713,60,0
2007-05-25,111.93,112.87,111.38,112.7,8923,60,0
2007-05-28,112.68,112.83,112.49,112.66,3000,60,0
2007-05-29,112.65,113.68,112.04,113.31,6844,60,0
2007-05-30,113.3,113.83,112.88,113.21,9560,60,0
2007-05-31,113.2,114.04,113.07,113.73,8863,60,0
2007-06-01,113.75,115.17,113.64,115.05,7240,60,0
2007-06-04,115.06,115.6,114.81,115.05,7325,60,0
2007-06-05,115.03,115.31,114.01,114.07,8816,60,0
2007-06-06,114.09,114.68,113.84,114.38,9080,60,0
2007-06-07,114.39,114.84,113.4,113.54,10053,60,0
2007-06-08,113.56,114.84,113.42,114.73,11444,60,0
2007-06-11,114.72,114.92,114.31,114.76,6979,60,0
2007-06-12,114.73,114.95,113.85,113.99,7683,60,0
2007-06-13,114.0,115.13,113.81,114.94,10452,60,0
2007-06-14,114.93,115.46,114.77,115.09,4366,60,0
2007-06-15,115.1,116.39,114.97,115.55,3597,60,0
2007-06-18,115.59,115.98,114.83,115.39,6577,60,0
2007-06-19,115.35,116.18,115.24,116.1,8769,60,0
2007-06-20,116.09,116.26,115.54,115.83,8631,60,0
2007-06-21,115.82,116.12,114.93,115.15,8065,60,0
2007-06-22,115.17,116.24,115.14,115.92,8180,60,0
2007-06-25,115.8,115.93,114.91,115.53,7880,60,0
2007-06-26,115.52,115.56,114.67,115.1,9484,60,0
2007-06-27,115.09,115.12,114.03,114.77,11434,60,0
2007-06-28,114.76,116.42,114.73,116.26,10746,60,0
2007-06-29,116.25,117.76,115.51,115.59,11254,60,0
2007-07-02,115.6,116.17,115.37,115.85,8341,60,0
