time,open,high,low,close,tick_volume,spread,real_volume
1999-01-07,80.53,80.84,80.48,80.77,53,80,0
1999-01-08,80.79,81.0,79.44,79.49,555,80,0
1999-01-11,79.04,79.65,77.4,77.83,602,80,0
1999-01-12,77.81,81.28,77.48,81.14,610,80,0
1999-01-13,81.16,84.21,80.73,83.34,598,80,0
1999-01-14,83.3,83.92,82.61,83.5,573,80,0
1999-01-15,83.52,83.59,82.13,82.56,545,80,0
1999-01-18,82.71,83.23,82.2,82.77,516,80,0
1999-01-19,82.85,83.15,82.27,82.29,590,80,0
1999-01-20,82.36,82.52,81.0,81.3,575,80,0
1999-01-21,81.36,82.67,81.02,82.3,585,80,0
1999-01-22,82.33,83.17,82.12,82.81,570,80,0
1999-01-25,82.8,83.24,81.83,81.97,537,80,0
1999-01-26,82.0,82.41,81.66,81.93,594,80,0
1999-01-27,81.88,82.71,81.37,82.08,601,80,0
1999-01-28,82.05,82.62,81.76,82.32,610,80,0
1999-01-29,82.28,82.49,81.69,82.11,586,80,0
1999-02-01,81.94,82.01,80.67,81.0,591,80,0
1999-02-02,81.03,81.11,79.16,79.32,608,80,0
1999-02-03,79.35,79.87,79.2,79.62,613,80,0
1999-02-04,79.65,80.36,78.83,79.35,610,80,0
1999-02-05,79.32,80.15,79.13,79.64,575,80,0
1999-02-08,79.54,81.2,79.36,80.91,565,80,0
1999-02-09,80.89,81.33,80.3,80.52,604,80,0
1999-02-10,80.48,82.11,80.37,81.11,605,80,0
1999-02-11,81.06,81.23,80.24,80.41,594,80,0
1999-02-12,80.4,81.21,80.05,80.53,577,80,0
1999-02-15,80.56,81.49,80.28,81.43,571,80,0
1999-02-16,81.47,83.37,81.25,83.24,618,80,0
1999-02-17,83.25,83.83,82.87,83.54,601,80,0
1999-02-18,83.58,84.33,83.36,83.7,584,80,0
1999-02-19,83.71,84.29,83.45,83.9,593,80,0
1999-02-22,83.84,84.39,82.94,83.47,631,80,0
