time,open,high,low,close,tick_volume,spread,real_volume
1999-01-04,133.82,134.34,131.94,132.21,1963,50,0
1999-01-05,132.24,132.8,129.96,131.33,2542,50,0
1999-01-06,131.5,132.92,131.05,131.38,4170,50,0
1999-01-07,131.18,131.37,128.39,130.4,3856,50,0
1999-01-08,130.45,130.97,128.26,128.42,3942,50,0
1999-01-11,127.65,128.96,124.57,125.42,9967,50,0
1999-01-12,125.43,130.34,124.81,130.21,9503,50,0
1999-01-13,130.17,133.33,129.16,132.61,6279,50,0
1999-01-14,132.63,133.92,131.19,132.61,5366,50,0
1999-01-15,132.6,133.05,130.98,131.74,6329,50,0
1999-01-18,132.01,133.36,131.34,132.37,5402,50,0
1999-01-19,132.48,133.33,131.52,131.71,4747,50,0
1999-01-20,131.79,132.65,130.22,130.61,4169,50,0
1999-01-21,130.7,132.54,129.96,132.04,5087,50,0
1999-01-22,132.16,133.0,131.65,132.78,6345,50,0
1999-01-25,132.65,132.95,131.24,131.33,5606,50,0
1999-01-26,131.35,132.3,131.04,131.61,6432,50,0
1999-01-27,131.62,132.98,130.77,132.37,6385,50,0
1999-01-28,132.33,133.18,131.73,132.66,7359,50,0
1999-01-29,132.72,132.89,131.54,132.17,6909,50,0
1999-02-01,132.03,132.03,129.69,130.28,5899,50,0
1999-02-02,130.33,130.41,127.09,127.1,6886,50,0
1999-02-03,127.13,128.05,126.79,127.62,5067,50,0
1999-02-04,127.74,128.96,126.22,127.16,6465,50,0
1999-02-05,127.09,128.25,126.56,127.45,6796,50,0
1999-02-08,127.28,130.09,127.0,129.59,5292,50,0
1999-02-09,129.63,130.24,128.79,128.93,8134,50,0
1999-02-10,128.96,130.98,128.71,129.51,8404,50,0
1999-02-11,129.44,129.83,128.55,128.63,6185,50,0
1999-02-12,128.64,129.94,127.98,128.88,7798,50,0
1999-02-15,128.85,130.15,128.33,130.11,5826,50,0
1999-02-16,130.18,133.24,129.84,133.06,7402,50,0
1999-02-17,133.08,134.2,132.25,133.46,6627,50,0
1999-02-18,133.48,134.86,133.14,134.01,7764,50,0
1999-02-19,134.02,135.03,133.57,134.32,8828,50,0
1999-02-22,134.33,135.18,132.59,133.51,9317,50,0
1999-02-23,133.47,133.83,132.36,133.03,9150,50,0
1999-02-24,132.94,134.42,132.77,133.57,7842,50,0
1999-02-25,133.55,134.38,131.84,132.2,6807,50,0
1999-02-26,131.81,133.18,130.15,131.48,9381,50,0
1999-03-01,131.19,131.59,130.23,130.5,7337,50,0
1999-03-02,130.44,131.96,130.31,131.41,5917,50,0
1999-03-03,131.34,132.78,131.31,132.49,8139,50,0
1999-03-04,132.5,134.26,132.46,133.45,8246,50,0
1999-03-05,133.39,133.59,132.54,132.83,7577,50,0
1999-03-08,132.82,133.21,131.61,132.52,6150,50,0
1999-03-09,132.55,132.88,131.35,131.91,9647,50,0
1999-03-10,131.9,132.21,130.98,131.08,6392,50,0
1999-03-11,131.07,132.14,129.72,131.41,7651,50,0
1999-03-12,131.42,132.63,129.42,129.6,7307,50,0
1999-03-15,129.89,130.28,128.49,128.75,6056,50,0
1999-03-16,128.78,129.67,127.3,129.33,6665,50,0
1999-03-17,129.26,130.8,128.88,130.17,6480,50,0
1999-03-18,130.21,131.11,128.81,128.9,9612,50,0
1999-03-19,128.97,130.07,127.49,127.72,6860,50,0
1999-03-22,127.59,129.19,127.33,129.16,7868,50,0
1999-03-23,129.15,129.58,128.32,128.68,6548,50,0
1999-03-24,128.75,129.07,128.01,128.59,8075,50,0
1999-03-25,128.56,128.87,127.94,128.04,7451,50,0
1999-03-26,128.02,129.67,127.86,129.53,7506,50,0
1999-03-29,129.42,130.79,128.19,129.04,7751,50,0
1999-03-30,129.11,129.74,128.61,128.95,4932,50,0
1999-03-31,128.96,129.55,127.52,128.06,7372,50,0
1999-04-01,127.98,130.48,127.21,130.45,6061,50,0
1999-04-02,130.51,130.51,129.51,130.11,1732,50,0
1999-04-05,130.24,130.88,129.85,130.37,2253,50,0
1999-04-06,130.36,131.19,129.52,130.59,5251,50,0
1999-04-07,130.63,131.37,130.17,130.78,5702,50,0
1999-04-08,130.84,131.42,130.12,130.34,6899,50,0
1999-04-09,130.35,131.04,129.73,130.55,7477,50,0
1999-04-12,130.8,130.88,129.92,130.1,5424,50,0
1999-04-13,130.12,130.83,128.88,129.12,7102,50,0
1999-04-14,129.13,129.59,128.02,128.36,8085,50,0
1999-04-15,128.4,128.75,126.48,127.45,5985,50,0
1999-04-16,127.41,127.48,125.4,126.03,6561,50,0
1999-04-19,125.84,126.81,124.87,125.42,5401,50,0
1999-04-20,125.4,126.62,125.16,126.29,5402,50,0
1999-04-21,126.23,127.29,125.82,126.8,6394,50,0
1999-04-22,126.87,128.04,126.56,127.26,9380,50,0
1999-04-23,127.24,127.82,126.41,126.44,6936,50,0
1999-04-26,126.47,126.62,125.78,126.29,6517,50,0
1999-04-27,126.36,128.55,126.31,128.17,6049,50,0
1999-04-28,128.14,128.2,126.23,126.52,8976,50,0
1999-04-29,126.55,127.49,125.91,126.48,6793,50,0
1999-04-30,126.46,127.06,126.01,126.3,6216,50,0
1999-05-03,126.6,127.37,126.46,127.1,4185,50,0
1999-05-04,127.09,128.52,127.04,128.46,6204,50,0
1999-05-06,129.46,130.78,128.95,130.14,10169,50,0
1999-05-07,130.09,130.43,129.46,129.91,6733,50,0
1999-05-10,129.73,130.75,129.28,130.04,8006,50,0
1999-05-11,130.07,130.74,129.48,129.59,10417,50,0
1999-05-12,129.58,129.77,128.59,128.74,9622,50,0
1999-05-13,128.73,130.07,128.71,129.83,7327,50,0
1999-05-14,129.73,131.04,129.47,130.93,12060,50,0
1999-05-17,131.14,131.99,130.9,131.84,8532,50,0
1999-05-18,131.84,132.06,131.12,131.71,7419,50,0
1999-05-19,131.72,132.9,131.31,132.53,11306,50,0
1999-05-20,132.56,133.3,131.75,132.02,11498,50,0
1999-05-21,132.03,133.06,130.22,131.22,7474,50,0
1999-05-24,131.12,132.04,130.2,130.48,6524,50,0
1999-05-25,130.5,131.01,129.64,129.91,9971,50,0
1999-05-26,129.9,130.08,127.42,127.83,9552,50,0
1999-05-27,127.81,128.4,124.96,125.41,11886,50,0
1999-05-28,125.42,127.09,125.4,126.72,10281,50,0
1999-05-31,127.3,127.65,126.47,126.65,7057,50,0
1999-06-01,126.66,127.14,125.84,126.12,8581,50,0
1999-06-02,126.13,126.27,124.7,125.99,9990,50,0
1999-06-03,125.97,127.05,125.26,125.34,11750,50,0
1999-06-04,125.45,127.04,124.96,126.8,9318,50,0
1999-06-07,126.72,126.91,123.95,124.3,7451,50,0
1999-06-08,124.3,126.5,124.07,124.8,12004,50,0
1999-06-09,124.77,125.2,123.78,124.79,12312,50,0
1999-06-10,124.81,125.84,122.88,124.67,15053,50,0
