time,open,high,low,close,tick_volume,spread,real_volume
2015-11-23,69.404,70.334,68.853,69.834,30327,138,0
2015-11-24,69.579,70.709,69.273,69.534,26171,133,0
2015-11-25,69.628,69.984,69.263,69.584,20535,138,0
2015-11-26,69.508,69.959,69.338,69.728,12160,133,0
2015-11-27,70.203,70.419,69.533,70.339,14393,138,0
2015-11-30,70.539,70.639,69.348,69.999,17981,138,0
2015-12-01,69.913,70.869,69.903,70.524,18830,138,0
2015-12-02,70.648,71.219,70.303,71.059,18951,138,0
2015-12-03,71.779,74.324,71.283,73.824,26508,138,0
2015-12-04,73.519,74.589,72.978,73.934,24721,138,0
2015-12-07,74.283,75.059,73.828,74.994,18958,133,0
2015-12-08,75.194,76.145,74.703,75.51,28567,0,17090689000
2015-12-09,75.51,76.595,75.174,76.354,28080,15,28078825000
2015-12-10,76.354,76.354,74.999,75.57,26386,15,26385865000
2015-12-11,75.57,77.54,75.534,77.249,34367,10,44365543000
2015-12-14,77.249,78.405,76.659,77.485,33383,20,33382808000
2015-12-15,77.485,78.49,75.899,76.269,36588,10,56585947000
2015-12-16,76.269,77.39,76.215,76.739,42888,15,42887795000
2015-12-17,76.739,77.115,76.144,76.874,32894,10,32893649000
2015-12-18,76.874,77.455,76.369,77.004,31130,10,31129770000
2015-12-21,77.004,77.925,76.984,77.745,20357,20,20356604000
2015-12-22,77.745,78.235,77.414,77.914,16120,10,16119618000
2015-12-23,77.914,77.914,75.639,75.695,17250,10,17249788000
2015-12-24,75.695,77.56,75.695,76.955,23414,20,23413942000
2015-12-28,77.315,79.505,77.239,79.129,29155,5,2368621051000
2015-12-29,79.129,79.995,78.449,78.869,30602,10,30601549000
2015-12-30,78.869,80.42,78.869,80.415,34937,15,10038547985000
2015-12-31,80.354,80.354,79.184,79.315,7040,35,7040000000
2016-01-04,79.315,80.43,78.49,79.159,39108,4,39107549000
2016-01-05,79.159,79.34,78.544,78.76,33920,20,33919948000
2016-01-06,78.76,80.66,78.76,80.519,53263,20,193248507000
2016-01-11,81.179,83.185,81.179,82.604,51480,45,95155455000
2016-01-12,82.604,83.85,82.214,83.504,20688,30,19853804000
2016-01-13,83.504,83.515,81.809,83.34,22627,30,22626970000
2016-01-14,83.34,83.675,82.474,82.529,17046,15,17045904000
2016-01-15,82.529,85.5,82.529,84.564,22111,25,32109337000
2016-01-18,84.564,86.5,84.564,86.32,17389,25,17387389000
2016-01-19,86.32,86.32,84.764,85.554,19521,25,19520834000
2016-01-20,85.554,90.065,85.554,88.414,29582,1,29580975000
2016-01-21,88.414,93.595,88.414,89.804,78865,35,88863664000
2016-01-22,89.804,89.804,84.109,84.19,58438,4,318297239000
2016-01-25,84.19,86.855,83.674,86.794,62471,9,62470814000
2016-01-26,86.794,89.295,84.129,84.91,79982,30,79981498000
2016-01-27,84.91,86.36,83.504,84.504,72260,35,82258734000
2016-01-28,84.504,84.504,82.214,83.485,55188,4,55187317000
2016-01-29,83.485,83.485,81.184,81.599,40142,45,60139976000
2016-02-01,82.325,84.22,81.863,84.14,55917,0,0
2016-02-02,84.763,86.998,84.538,86.12,66092,180,0
2016-02-03,85.924,87.651,84.905,86.27,51660,184,0
2016-02-04,84.364,86.199,83.84,85.341,44626,183,0
2016-02-05,85.193,86.794,85.192,86.074,31437,181,0
2016-02-08,85.305,87.825,85.006,87.501,36229,181,0
2016-02-09,88.308,89.795,87.173,89.72,43137,183,0
2016-02-10,89.429,89.65,86.567,87.874,43159,181,0
2016-02-11,88.982,91.355,88.644,90.729,45078,180,0
2016-02-12,89.559,90.06,87.615,87.955,34557,181,0
2016-02-15,86.941,87.325,85.865,86.505,31019,196,0
2016-02-16,85.219,86.97,84.613,86.365,46630,180,0
2016-02-17,86.966,87.259,82.99,83.589,40922,182,0
2016-02-18,83.21,84.785,82.931,84.527,40194,182,0
2016-02-19,84.839,86.499,84.312,86.048,31026,200,0
2016-02-22,84.656,84.835,82.559,82.7,25771,192,0
2016-02-24,83.834,85.328,83.587,83.985,33062,181,0
2016-02-25,83.552,84.37,83.125,83.622,30075,182,0
2016-02-26,83.164,83.358,81.5,83.11,42950,181,0
2016-02-29,81.986,83.323,81.191,81.365,23331,182,0
2016-03-01,81.078,81.078,79.163,79.52,33085,183,0
2016-03-02,79.37,80.519,79.039,79.445,27493,180,0
2016-03-03,79.262,80.61,79.262,80.055,29945,185,0
2016-03-04,79.416,80.38,78.814,78.939,35324,0,0
2016-03-07,78.791,79.15,78.256,78.46,24892,200,0
2016-03-09,79.112,79.61,77.6,78.39,27390,181,0
2016-03-10,77.773,80.384,75.74,80.105,47879,185,0
2016-03-11,78.654,79.036,76.98,77.795,32646,183,0
2016-03-14,77.556,78.705,77.468,77.775,38576,186,37832022000
2016-03-15,78.093,79.16,77.829,78.8,84243,199,167759503000
2016-03-16,78.322,78.86,77.576,77.867,76691,199,152140141000
2016-03-17,77.567,77.587,76.699,76.874,97845,184,192821997000
2016-03-18,75.789,77.39,75.775,77.001,83583,190,166059635000
2016-03-21,76.786,77.745,75.845,76.225,39578,181,28623727000
2016-03-22,76.008,76.36,75.165,75.294,64803,187,107825924000
2016-03-23,75.287,76.472,75.287,76.2,74566,188,145578938000
2016-03-24,76.544,77.702,76.513,76.925,94799,180,185959145000
2016-03-25,76.492,76.579,75.584,76.195,67890,210,135334875000
2016-03-28,75.481,76.86,75.264,76.525,71515,205,141592603000
2016-03-29,76.538,77.37,76.358,76.735,78576,180,153027235000
2016-03-30,76.805,77.135,76.03,76.872,81427,185,159708120000
2016-03-31,76.744,77.021,75.91,76.168,25525,182,49076360000
2016-04-01,75.931,77.838,75.908,76.715,28645,190,55194278000
2016-04-04,77.331,78.288,76.961,77.908,74691,192,0
2016-04-05,78.414,79.05,77.849,78.459,68893,183,0
2016-04-06,77.686,78.222,77.244,77.323,41791,199,0
2016-04-07,76.867,77.78,76.765,77.294,33487,201,0
2016-04-08,76.93,76.975,75.985,76.345,29592,184,0
2016-04-11,76.405,76.697,75.677,75.907,62851,187,0
2016-04-12,75.9,75.94,74.13,74.188,61387,182,0
2016-04-13,74.805,74.981,73.65,74.4,67231,195,0
2016-04-14,74.536,74.814,73.995,74.215,62471,196,0
2016-04-15,74.26,75.23,74.01,74.797,58191,183,0
2016-04-18,76.486,77.61,74.61,75.031,94752,181,0
2016-04-19,74.507,75.295,73.995,75.15,71752,181,0
2016-04-20,75.202,75.445,73.67,73.795,62481,183,0
2016-04-21,73.023,74.86,72.881,74.814,79739,193,0
2016-04-22,74.374,74.855,73.625,74.516,66143,200,0
2016-04-25,74.371,75.16,74.004,75.083,45351,188,0
2016-04-26,74.845,75.04,73.985,74.095,27852,194,0
2016-04-27,73.936,74.618,73.386,73.631,41024,185,0
2016-04-28,73.661,74.023,72.699,72.809,40634,194,0
2016-04-29,73.14,74.065,72.795,74.065,34697,183,0
2016-05-04,76.488,76.55,74.997,76.434,40495,187,0
2016-05-05,75.633,75.763,74.117,75.261,18423,200,0
2016-05-06,74.533,75.959,74.533,75.069,24747,192,0
2016-05-10,74.889,75.674,74.889,75.142,39896,196,0
2016-05-11,75.275,75.503,74.029,74.285,40100,190,0
2016-05-12,74.008,74.45,73.049,73.758,48805,185,0
2016-05-13,73.635,74.175,73.238,73.405,47299,183,0
2016-05-16,73.007,73.655,73.007,73.251,41308,190,0
2016-05-17,72.897,73.495,72.799,73.285,40505,189,0
2016-05-18,73.062,73.782,72.967,73.411,40346,183,0
2016-05-19,73.915,75.349,73.861,74.81,50834,181,0
2016-05-20,74.359,75.065,74.162,74.868,43973,191,0
2016-05-23,74.226,75.395,74.226,74.897,30428,0,0
2016-05-24,74.363,75.095,73.952,74.182,32086,195,0
2016-05-25,73.265,73.465,72.604,73.055,34877,181,0
2016-05-26,72.415,73.618,71.947,73.285,33064,185,0
2016-05-27,73.332,73.868,73.222,73.38,42621,189,0
2016-05-30,73.283,73.605,72.635,73.115,37951,195,0
2016-05-31,73.095,73.67,72.907,73.565,42564,180,0
2016-06-01,73.789,75.063,73.78,74.946,54380,183,0
2016-06-02,74.885,75.605,74.064,74.7,64932,187,0
2016-06-03,74.33,75.073,73.892,74.42,62843,190,0
2016-06-06,74.26,74.78,73.86,74.12,42707,191,0
2016-06-07,73.995,74.224,73.24,73.404,42228,181,0
2016-06-08,73.245,73.596,72.239,72.521,47510,181,0
2016-06-09,72.22,72.98,72.07,72.642,46328,195,0
2016-06-10,72.595,73.325,72.325,73.286,41768,190,0
2016-06-14,74.01,74.405,73.596,73.885,47307,190,0
2016-06-15,73.79,74.015,73.217,73.32,47173,190,0
2016-06-16,74.01,74.295,72.894,73.468,49640,200,0
2016-06-17,73.34,73.625,72.752,73.055,43867,195,0
2016-06-20,72.885,72.945,72.126,72.431,44548,195,0
2016-06-21,72.658,72.858,71.719,72.025,45125,195,0
2016-06-22,71.44,73.335,71.33,73.322,49244,195,0
2016-06-23,72.955,73.215,72.263,72.551,57517,205,0
2016-06-24,72.575,72.955,71.647,72.342,84212,208,0
2016-06-27,71.587,72.2,71.288,71.97,74161,190,0
2016-06-28,71.695,71.86,70.953,71.05,68331,193,0
2016-06-29,70.62,71.34,70.381,70.761,58701,190,0
2016-06-30,70.88,71.455,70.28,70.31,58917,187,0
2016-07-01,70.745,71.417,70.609,70.98,55630,185,0
2016-07-04,70.66,71.209,70.56,71.182,46856,192,0
2016-07-05,71.375,71.855,71.22,71.27,54801,181,0
2016-07-06,71.465,71.632,71.08,71.225,57594,190,0
2016-07-07,70.993,71.355,70.445,71.216,63916,184,0
2016-07-08,71.358,71.405,70.135,70.34,55963,183,0
2016-07-11,70.535,70.94,70.48,70.764,38201,183,0
2016-07-12,70.545,71.088,70.43,70.495,44708,194,0
2016-07-13,70.73,71.08,70.21,70.881,41073,184,0
2016-07-14,70.565,70.715,69.53,69.788,49786,190,0
2016-07-15,69.935,70.445,69.765,70.003,44660,190,0
2016-07-18,69.908,70.018,69.345,69.453,44090,182,0
2016-07-19,69.554,70.075,69.191,69.922,46958,180,0
2016-07-20,69.5,70.235,69.34,70.102,50434,188,0
2016-07-21,70.107,70.72,69.98,70.645,53796,190,0
2016-07-22,70.665,71.371,70.665,70.965,48818,188,0
2016-07-25,70.887,71.9,70.779,71.828,45635,184,0
2016-07-26,71.96,73.021,71.915,72.408,57937,185,0
2016-07-27,72.27,72.92,71.937,72.82,61565,184,0
2016-07-28,72.205,73.98,72.205,73.71,65482,182,0
2016-07-29,74.145,74.62,73.318,73.62,81898,185,0
2016-08-01,73.34,74.575,73.2,74.558,64623,182,0
2016-08-02,74.661,74.965,73.897,74.845,73276,183,0
2016-08-03,74.735,74.99,73.597,73.931,74114,181,0
2016-08-04,73.77,73.975,72.93,73.068,67694,182,0
2016-08-05,72.465,73.296,71.915,72.605,76684,181,0
2016-08-08,71.757,72.354,71.28,71.318,54227,182,0
2016-08-09,71.615,72.036,71.399,71.87,62944,184,0
2016-08-10,72.213,72.451,71.58,72.197,71807,180,0
2016-08-11,72.54,72.555,71.43,71.434,65369,181,0
2016-08-12,71.51,72.5,71.305,72.352,68040,180,0
2016-08-15,71.908,71.915,71.399,71.42,52846,182,0
2016-08-16,71.602,72.206,71.347,71.8,66513,180,0
2016-08-17,71.945,72.379,71.799,72.04,54327,183,0
2016-08-18,71.948,72.525,71.635,72.029,54476,182,0
2016-08-19,72.181,72.505,71.906,72.18,55201,181,0
2016-08-22,72.319,73.231,72.115,73.095,51834,181,0
2016-08-23,73.28,73.465,72.651,72.818,118641,180,0
2016-08-24,73.25,73.393,72.587,73.317,156712,180,0
2016-08-25,72.955,73.355,72.364,73.004,115247,180,0
2016-08-26,72.882,73.204,72.087,72.47,158451,180,0
2016-08-29,72.589,72.801,72.214,72.473,110924,180,0
2016-08-30,72.078,72.765,72.078,72.628,129930,180,0
2016-08-31,72.495,72.865,71.722,72.749,101924,180,0
2016-09-01,72.565,73.75,72.436,73.665,35881,185,0
2016-09-02,73.56,73.725,72.435,72.55,30413,194,0
2016-09-05,72.215,72.495,71.915,72.455,34469,190,0
2016-09-06,72.142,72.583,72.104,72.431,30959,195,0
2016-09-07,72.28,72.565,72.095,72.18,35627,190,0
2016-09-08,71.88,72.265,71.5,71.78,40172,184,0
2016-09-09,72.105,72.54,72.03,72.475,48431,180,0
2016-09-12,72.815,73.205,72.325,72.505,44145,190,0
2016-09-13,72.636,73.38,72.432,73.37,42663,185,0
2016-09-14,72.84,73.27,72.591,73.095,48323,185,0
2016-09-15,73.23,73.237,72.59,72.758,53363,185,0
2016-09-16,72.655,73.005,72.275,72.446,53373,186,0
2016-09-19,72.175,72.45,71.85,72.155,42210,184,0
2016-09-20,72.18,72.59,71.975,72.264,42224,184,0
2016-09-21,71.712,71.796,71.295,71.5,33440,190,0
2016-09-22,71.379,71.79,71.22,71.315,43072,185,0
2016-09-23,71.295,71.935,70.94,71.85,57656,184,0
2016-09-26,71.627,72.086,71.366,71.752,61349,190,0
2016-09-27,71.445,71.75,71.141,71.679,57740,190,0
2016-09-28,71.325,71.76,71.194,71.391,61369,150,0
2016-09-29,70.569,70.969,70.382,70.854,54801,150,0
2016-09-30,70.864,71.019,70.186,70.325,57424,150,0
2016-10-03,70.394,70.444,69.57,69.803,34827,150,0
2016-10-04,69.659,70.334,69.402,70.289,48564,150,0
2016-10-05,69.979,70.214,69.598,69.83,34658,150,0
2016-10-06,69.692,69.839,69.094,69.189,34682,151,0
2016-10-07,68.989,69.537,68.898,69.329,50579,151,0
2016-10-10,69.309,69.749,68.834,68.964,33664,0,0
2016-10-11,68.999,69.469,68.886,69.285,53853,150,0
2016-10-12,68.884,69.444,68.661,69.196,48984,150,0
