time,open,high,low,close,tick_volume,spread,real_volume
1999-01-05,2.2646,2.2699,2.2568,2.2687,3247,150,0
1999-01-06,2.2766,2.3082,2.2647,2.3057,5806,150,0
1999-01-07,2.3005,2.3006,2.2725,2.2745,5778,150,0
1999-01-08,2.2746,2.2956,2.2669,2.2876,5591,150,0
1999-01-11,2.2878,2.2997,2.2788,2.2847,4498,150,0
1999-01-12,2.2835,2.295,2.2593,2.2651,4869,150,0
1999-01-13,2.2689,2.2689,2.2218999999999998,2.2475,5960,150,0
1999-01-14,2.2477,2.2635,2.241,2.2475,5731,150,0
1999-01-15,2.2473,2.2845,2.2393,2.2816,6444,150,0
1999-01-18,2.2775,2.2936,2.2747,2.2788,5351,150,0
1999-01-19,2.2773,2.2903000000000002,2.2738,2.2841,5169,150,0
1999-01-20,2.2839,2.2928,2.2786,2.2879,5316,150,0
1999-01-21,2.2876,2.2947,2.2743,2.2872,4758,150,0
1999-01-22,2.2862999999999998,2.2928,2.2746,2.29,6050,150,0
1999-01-25,2.2887,2.3013,2.2778,2.2998,5233,150,0
1999-01-26,2.3013,2.3103,2.2929,2.3071,6321,150,0
1999-01-27,2.3073,2.3268,2.303,2.3228,6526,150,0
1999-01-28,2.3216,2.3385,2.3144,2.3277,8720,150,0
1999-01-29,2.3293,2.3384,2.3197,2.3307,7352,150,0
1999-02-01,2.3301,2.3371,2.3193,2.3332,5597,150,0
1999-02-02,2.3329,2.3381,2.3115,2.3148,8015,150,0
1999-02-03,2.3137,2.3209,2.3017,2.3198,7057,150,0
1999-02-04,2.3192,2.334,2.3173,2.3219,9205,150,0
1999-02-05,2.3216,2.3324,2.313,2.3194,10768,150,0
1999-02-08,2.3203,2.3318,2.3155,2.3211,5825,150,0
1999-02-09,2.3205,2.3284000000000002,2.3124000000000002,2.3172,6681,150,0
1999-02-10,2.3188,2.3219,2.2866,2.2928,6485,150,0
1999-02-11,2.2943,2.3183,2.2842000000000002,2.3152,6178,150,0
1999-02-12,2.3157,2.3171,2.3036,2.3129,6613,150,0
1999-02-15,2.3128,2.3207,2.3055,2.3143000000000002,8961,150,0
1999-02-16,2.3142,2.3402,2.3112,2.3293,8716,150,0
1999-02-17,2.3296,2.3357,2.3172,2.3218,6892,150,0
1999-02-18,2.3217,2.34,2.3177,2.3377,6549,150,0
1999-02-19,2.3381,2.3569,2.3311,2.3458,8177,150,0
1999-02-22,2.3477,2.3646,2.3459,2.3597,8452,150,0
1999-02-23,2.359,2.3603,2.3325,2.337,7161,150,0
1999-02-24,2.3369,2.3433,2.3078,2.3112,8425,150,0
1999-02-25,2.311,2.3191,2.2994,2.3053,6140,150,0
1999-02-26,2.3078,2.3264,2.3056,2.3199,6231,150,0
1999-03-01,2.3134,2.3578,2.3109,2.352,6915,150,0
1999-03-02,2.3513,2.3592,2.3452,2.3524,7633,150,0
1999-03-03,2.3522,2.3687,2.3468,2.3572,6686,150,0
1999-03-04,2.3578,2.3767,2.3467000000000002,2.3669000000000002,6693,150,0
1999-03-05,2.367,2.3709,2.3561,2.3588,4896,150,0
1999-03-08,2.3547000000000002,2.3652,2.3397,2.3535,7008,150,0
1999-03-09,2.3542,2.3776,2.3497,2.3724,4806,150,0
1999-03-10,2.3721,2.3789,2.3602,2.3745,8237,150,0
1999-03-11,2.3742,2.4006,2.367,2.3762,7395,150,0
1999-03-12,2.378,2.4005,2.3724,2.3905,6373,150,0
1999-03-15,2.3912,2.3925,2.3706,2.3759,5563,150,0
1999-03-16,2.3766,2.3928,2.3626,2.3638,6104,150,0
1999-03-17,2.3645,2.3771,2.3574,2.3658,5964,150,0
1999-03-18,2.3657,2.3778,2.3539,2.3737,9153,150,0
1999-03-19,2.3739,2.3919,2.3683,2.387,6206,150,0
1999-03-22,2.3854,2.3941,2.3797,2.3813,7552,150,0
1999-03-23,2.3819,2.3937,2.3723,2.3913,8556,150,0
1999-03-24,2.3914,2.4002,2.3786,2.3935,8314,150,0
1999-03-25,2.3943,2.3983,2.3854,2.3885,7418,150,0
1999-03-26,2.3890000000000002,2.4092000000000002,2.3844,2.4029,8818,150,0
1999-03-29,2.4035,2.4144,2.3965,2.3986,7402,150,0
1999-03-30,2.4002,2.4089,2.3917,2.401,1946,150,0
1999-03-31,2.4001,2.4066,2.3806,2.3883,8311,150,0
1999-04-01,2.3887,2.3977,2.3670999999999998,2.3731999999999998,7479,150,0
1999-04-05,2.3744,2.3901,2.3731999999999998,2.3835,1009,150,0
1999-04-06,2.3832,2.3868,2.337,2.3466,7339,150,0
1999-04-07,2.3468,2.3688000000000002,2.343,2.3675,7898,150,0
1999-04-08,2.3681,2.3899,2.3606,2.3882,7718,150,0
1999-04-09,2.3885,2.3905,2.3714,2.3878,7601,150,0
1999-04-12,2.3834,2.3971999999999998,2.3777,2.3938,3769,150,0
1999-04-13,2.3959,2.4102,2.3915,2.409,5256,150,0
1999-04-14,2.4078,2.411,2.3878,2.3878,4338,150,0
1999-04-15,2.3905,2.4151,2.3866,2.4131,4190,150,0
1999-04-16,2.4129,2.4246,2.4066,2.4144,5803,150,0
1999-04-19,2.4176,2.4419,2.4126,2.4185,6548,150,0
1999-04-20,2.4181,2.4401,2.4142,2.4264,7472,150,0
1999-04-21,2.4266,2.435,2.4184,2.4302,7925,150,0
1999-04-22,2.4295999999999998,2.4383,2.4131,2.4316,7959,150,0
1999-04-23,2.4317,2.4438,2.419,2.4394,5875,150,0
1999-04-26,2.4355,2.4432,2.433,2.4403,6028,150,0
1999-04-27,2.4402,2.4428,2.4259,2.4378,7121,150,0
1999-04-28,2.4392,2.4465,2.4335,2.4393000000000002,4769,150,0
1999-04-29,2.4398,2.4529,2.4369,2.4429,7137,150,0
1999-04-30,2.4436999999999998,2.4573,2.4368,2.4493,5908,150,0
1999-05-03,2.4506,2.4577,2.4471,2.4529,7829,150,0
1999-05-04,2.453,2.4699999999999998,2.4475,2.4607,8640,150,0
1999-05-05,2.4605,2.4674,2.4388,2.4432,6194,150,0
1999-05-06,2.4431,2.4494,2.4279,2.441,10132,150,0
1999-05-07,2.4416,2.4436999999999998,2.428,2.4349,8550,150,0
1999-05-10,2.4355,2.444,2.4208,2.4238,6492,150,0
1999-05-11,2.4248,2.4392,2.4169,2.4361,8375,150,0
1999-05-12,2.4356,2.4434,2.4246,2.4364,11351,150,0
1999-05-13,2.4365,2.4449,2.4299,2.4358,3404,150,0
1999-05-14,2.4356999999999998,2.4405,2.4167,2.4351,11815,150,0
1999-05-17,2.4362,2.4413,2.4259,2.4314999999999998,7619,150,0
1999-05-18,2.4317,2.4419,2.425,2.4313000000000002,7829,150,0
1999-05-19,2.4319,2.4418,2.4279,2.4298,7369,150,0
1999-05-20,2.4304,2.4343,2.4204,2.4257,7156,150,0
1999-05-21,2.4259,2.4412,2.4253,2.4273,7930,150,0
1999-05-24,2.4288,2.4337,2.4125,2.4135,2769,150,0
1999-05-25,2.4136,2.4173999999999998,2.4013999999999998,2.4051,7983,150,0
1999-05-26,2.4061,2.4351,2.4031000000000002,2.4335,7044,150,0
