time,open,high,low,close,tick_volume,spread,real_volume
2007-08-21,3.0326,3.0445,3.0158,3.0347,10414,150,0
2007-08-22,3.0381,3.0435,3.0269,3.0401,5650,150,0
2007-08-23,3.0415,3.0582,3.0356,3.0489,6546,150,0
2007-08-24,3.0471,3.0651,3.0453,3.0626,5735,150,0
2007-08-27,3.0618,3.0687,3.0572,3.0583,4809,150,0
2007-08-29,3.0561,3.0747,3.0492,3.069,6361,150,0
2007-08-30,3.0688,3.0764,3.0554,3.0656,6046,150,0
2007-08-31,3.0658,3.0791,3.0624,3.0773,5743,150,0
2007-09-03,3.0752,3.0797,3.0671,3.0754,4433,150,0
2007-09-04,3.0749,3.0802,3.0666,3.0717,5418,150,0
2007-09-05,3.0719,3.0894,3.0614,3.0843,5876,150,0
2007-09-06,3.0852,3.0917,3.0724,3.0817,5947,150,0
2007-09-07,3.0814,3.0971,3.0747,3.095,5195,150,0
2007-09-10,3.0934,3.0987999999999998,3.0871,3.0889,10817,150,0
2007-09-11,3.089,3.0975,3.0821,3.0865,5627,150,0
2007-09-12,3.0867,3.0891,3.0682,3.0702,6063,150,0
2007-09-13,3.0715,3.0728,3.0517,3.0518,13030,150,0
2007-09-14,3.0524,3.0574,3.0304,3.0365,11423,150,0
2007-09-17,3.0318,3.0415,3.0168,3.0236,14186,150,0
2007-09-18,3.0244,3.0464,3.0154,3.0365,16381,150,0
2007-09-19,3.0366,3.0413,3.0076,3.0142,16494,150,0
2007-09-20,3.0144,3.0276,3.008,3.023,15173,150,0
2007-09-21,3.0231,3.0424,3.019,3.0407,13989,150,0
2007-09-24,3.0409,3.0538,3.0284,3.03,10281,150,0
2007-09-25,3.0301,3.033,3.0151,3.0255,15427,150,0
2007-09-26,3.0251,3.0304,3.0085,3.0183,13928,150,0
2007-09-27,3.0182,3.0246,3.0056,3.0199,15559,150,0
2007-09-28,3.0197,3.0434,3.0093,3.0401,18303,150,0
2007-10-01,3.0389,3.0416,3.0097,3.0172,14252,150,0
2007-10-02,3.0174,3.0332,3.0145,3.0234,14321,150,0
2007-10-03,3.0231,3.0299,3.0085,3.0104,14916,150,0
2007-10-04,3.0105,3.0214,3.0042,3.0188,15679,150,0
2007-10-05,3.019,3.0215,2.9946,3.0058,13007,150,0
2007-10-08,3.005,3.0059,2.9958,3.0007,5203,150,0
2007-10-09,3.0001,3.0012,2.9847,2.998,9521,150,0
2007-10-10,2.9981999999999998,3.0015,2.9805,2.9937,11753,150,0
2007-10-11,2.9939999999999998,2.9939999999999998,2.9707,2.9771,13274,150,0
2007-10-12,2.977,2.9802999999999997,2.9632,2.9787,11859,150,0
2007-10-15,2.9760999999999997,2.9954,2.9748,2.9924,9588,150,0
2007-10-16,2.9927,3.0003,2.9779,2.9831,12998,150,0
2007-10-17,2.9832,2.993,2.9771,2.9914,12795,150,0
2007-10-18,2.9913,2.9931,2.9823,2.9832,12541,150,0
2007-10-19,2.9831,3.0024,2.9795,3.0012,12741,150,0
2007-10-22,3.0007,3.006,2.9704,2.9732,14686,150,0
2007-10-23,2.9727,3.0028,2.9724,3.0002,12395,150,0
2007-10-24,3.0001,3.0004,2.9889,2.9933,12931,150,0
2007-10-25,2.9929,2.9954,2.9806,2.9872,12217,150,0
2007-10-26,2.9875,2.9994,2.9777,2.9808,9514,150,0
2007-10-29,2.9845,2.9981,2.9814,2.9925,9689,150,0
2007-10-30,2.9923,3.002,2.9855,2.9987,9718,150,0
2007-10-31,2.9985,3.0149,2.9938000000000002,3.0111,12435,150,0
2007-11-01,3.0095,3.0221,3.006,3.0134,13751,150,0
2007-11-02,3.014,3.0307,3.0093,3.0273,13553,150,0
2007-11-05,3.0264,3.0298,3.0139,3.0161,11105,150,0
2007-11-06,3.0162,3.0242,3.0142,3.0156,9735,150,0
2007-11-07,3.0154,3.0341,3.0133,3.0286,16543,150,0
2007-11-08,3.0285,3.0388,3.0233,3.0307,14790,150,0
2007-11-09,3.0306,3.0514,3.0065,3.0123,18262,150,0
2007-11-12,3.005,3.0164,2.9825,2.9884,19004,150,0
2007-11-13,2.9885,3.0079,2.9858000000000002,2.9977,15959,150,0
2007-11-14,2.9974,3.015,2.9668,2.968,17256,150,0
2007-11-15,2.9685,2.9837,2.9596,2.9711,15865,150,0
2007-11-16,2.9713000000000003,2.9816000000000003,2.9551,2.9808,15000,150,0
2007-11-19,2.9758,2.9784,2.9573,2.9708,12757,150,0
2007-11-20,2.9711,2.9983,2.9701,2.9899,15772,150,0
2007-11-21,2.9897,2.9998,2.9798999999999998,2.9945,14114,150,0
2007-11-22,2.995,3.0003,2.9838,2.9915000000000003,9474,150,0
2007-11-23,2.9924,3.0023,2.9564,2.9729,14690,150,0
2007-11-26,2.972,2.9936,2.9699,2.9879,11945,150,0
2007-11-27,2.9869,2.9917,2.9736000000000002,2.9796,14181,150,0
2007-11-28,2.9795,3.0062,2.9732,3.0002,15932,150,0
2007-11-29,2.9997,3.0104,2.9836,2.9868,14266,150,0
2007-11-30,2.9862,2.9928,2.9698,2.98,14886,150,0
2007-12-03,2.9773,2.9986,2.974,2.9928,12432,150,0
2007-12-04,2.9931,2.9947,2.9724,2.9776,12909,150,0
2007-12-05,2.9771,2.9773,2.9293,2.9375999999999998,15498,150,0
2007-12-06,2.9378,2.9413,2.9206,2.9272,15583,150,0
2007-12-07,2.9271000000000003,2.9363,2.916,2.9243,12558,150,0
2007-12-10,2.9269,2.9492000000000003,2.9252000000000002,2.9452,10699,150,0
2007-12-11,2.945,2.9582,2.9318999999999997,2.9422,12046,150,0
2007-12-12,2.942,2.9619,2.9351000000000003,2.9516999999999998,13889,150,0
2007-12-13,2.9518,2.9539,2.9309,2.9397,12973,150,0
2007-12-14,2.9423,2.9496,2.924,2.9274,17218,150,0
2007-12-17,2.923,2.9551,2.9206,2.9499,16642,150,0
2007-12-18,2.95,2.9583,2.9348,2.9366,15097,150,0
2007-12-19,2.9365,2.9489,2.9116,2.9144,16558,150,0
2007-12-20,2.915,2.9193,2.8922,2.8949,9679,150,0
2007-12-21,2.8945,2.9039,2.8785,2.8853999999999997,12374,150,0
2007-12-24,2.8845,2.8888,2.8661,2.8681,5956,150,0
2007-12-26,2.8767,2.8819,2.8741,2.8784,1413,150,0
2007-12-27,2.8786,2.8932,2.8781,2.8912,5382,150,0
2007-12-28,2.8908,2.8926,2.8753,2.886,5144,150,0
2007-12-31,2.8852,2.8883,2.8474,2.8496,1672,150,0
2008-01-02,2.8552,2.8605,2.8427,2.8485,10499,150,0
2008-01-03,2.8487,2.8529999999999998,2.825,2.8291,15779,150,0
2008-01-04,2.8294,2.8414,2.8208,2.8298,15223,150,0
2008-01-07,2.8296,2.8366,2.8186,2.8254,13290,150,0
2008-01-08,2.8247,2.8388,2.8199,2.8269,14799,150,0
2008-01-09,2.8266,2.8301,2.7988,2.801,16033,150,0
2008-01-10,2.8016,2.8169,2.797,2.8052,18299,150,0
2008-01-11,2.8049,2.8078,2.7862999999999998,2.8049,16797,150,0
2008-01-14,2.8061,2.8091,2.7897,2.7897,12948,150,0
2008-01-15,2.7899000000000003,2.8194,2.7896,2.7995,17825,150,0
2008-01-16,2.7993,2.8155,2.7919,2.8083,22563,150,0
2008-01-17,2.8074,2.8382,2.8029,2.8363,21763,150,0
2008-01-18,2.8362,2.8428,2.8037,2.8116,18670,150,0
2008-01-21,2.814,2.8212,2.8059,2.8106,16109,150,0
2008-01-22,2.8104,2.8308999999999997,2.8025,2.8171,19974,150,0
2008-01-23,2.8163,2.8217,2.7915,2.798,20747,150,0
2008-01-24,2.7992,2.8205,2.7887,2.8185000000000002,15322,150,0
2008-01-25,2.8186999999999998,2.8258,2.8099,2.8241,18055,150,0
2008-01-28,2.8228,2.8283,2.8066,2.8199,13137,150,0
2008-01-29,2.8194,2.8319,2.8118,2.827,14954,150,0
2008-01-30,2.8270999999999997,2.8319,2.8128,2.8199,15700,150,0
2008-01-31,2.82,2.8264,2.8108,2.8173,18390,150,0
2008-02-01,2.8174,2.8221,2.7768,2.7774,17837,150,0
2008-02-04,2.7767,2.7983000000000002,2.7763,2.7896,12268,150,0
2008-02-05,2.7906,2.7937,2.7812,2.7911,13604,150,0
2008-02-06,2.7903000000000002,2.7927,2.7686,2.7767,14221,150,0
2008-02-07,2.7772,2.7792,2.7466,2.7531,17099,150,0
2008-02-08,2.7527,2.7683999999999997,2.7508,2.7571,13101,150,0
2008-02-11,2.7573,2.7696,2.7518000000000002,2.7672,13328,150,0
2008-02-12,2.7657,2.7777,2.7573,2.7756,11880,150,0
2008-02-13,2.7763999999999998,2.7897,2.7686,2.7846,15245,150,0
2008-02-15,2.7927999999999997,2.7927999999999997,2.7654,2.7681,13580,150,0
2008-02-18,2.7635,2.771,2.7484,2.7542,11003,150,0
2008-02-19,2.7542999999999997,2.7587,2.7459,2.7532,14427,150,0
2008-02-20,2.753,2.7564,2.7346,2.7401,16586,150,0
2008-02-21,2.7401999999999997,2.7692,2.7377000000000002,2.7686,15616,150,0
2008-02-22,2.7688,2.7701000000000002,2.7588,2.7649,12832,150,0
2008-02-25,2.7694,2.7708,2.7575,2.7641999999999998,3147,150,0
2008-02-26,2.7640000000000002,2.7923999999999998,2.7588,2.789,15357,150,0
2008-02-27,2.7891,2.7907,2.7661,2.7682,19055,150,0
2008-02-28,2.7685,2.7789,2.7601,2.7762000000000002,16638,150,0
2008-02-29,2.7695,2.7753,2.7561999999999998,2.7749,18355,150,0
2008-03-03,2.7718,2.7769,2.7554,2.7588,8666,150,0
2008-03-04,2.759,2.7666,2.7532,2.757,14279,150,0
2008-03-05,2.7594,2.7732,2.7412,2.7666,16096,150,0
2008-03-06,2.7675,2.791,2.7603,2.7892,17750,150,0
2008-03-07,2.7936,2.7998,2.7837,2.7876,10108,150,0
2008-03-10,2.8015,2.8072,2.7848,2.7861000000000002,9860,150,0
2008-03-11,2.7898,2.802,2.7744,2.7862,16759,150,0
2008-03-12,2.7861000000000002,2.8068999999999997,2.7813,2.8013,16158,150,0
2008-03-13,2.8019,2.8157,2.7964,2.802,17823,150,0
2008-03-14,2.8021000000000003,2.8197,2.782,2.783,15119,150,0
2008-03-17,2.7778,2.803,2.7537000000000003,2.758,25694,150,0
2008-03-18,2.7583,2.7861000000000002,2.7578,2.7685,20465,150,0
2008-03-19,2.7673,2.7817,2.7464,2.7606,12222,150,0
2008-03-20,2.7613,2.7636,2.7391,2.7583,6963,150,0
2008-03-21,2.7595,2.7603999999999997,2.7457000000000003,2.7468,2241,150,0
2008-03-24,2.7459,2.7635,2.7446,2.7556000000000003,8213,150,0
2008-03-25,2.7553,2.7712,2.7508,2.7667,15510,150,0
2008-03-26,2.767,2.7773,2.7481,2.7663,18054,150,0
2008-03-27,2.7662,2.7856,2.7599,2.7675,19483,150,0
2008-03-28,2.7677,2.7748,2.7452,2.7532,18959,150,0
2008-03-31,2.7554,2.76,2.7272,2.7311,14835,150,0
2008-04-01,2.731,2.741,2.7199999999999998,2.724,19442,150,0
2008-04-02,2.7245,2.7439,2.7226,2.7419000000000002,18009,150,0
2008-04-03,2.7412,2.7687,2.7321,2.7619,20339,150,0
2008-04-04,2.762,2.7739000000000003,2.7481,2.7511,17021,150,0
2008-04-07,2.7536,2.754,2.7393,2.7452,13975,150,0
2008-04-08,2.7448,2.7497,2.7124,2.7133000000000003,19962,150,0
2008-04-09,2.7147,2.7269,2.7113,2.7202,16545,150,0
2008-04-10,2.7198,2.722,2.6738,2.6757999999999997,22218,150,0
2008-04-11,2.6759,2.6847,2.6703,2.6719,15228,150,0
2008-04-14,2.6731,2.6997,2.6728,2.6835,17439,150,0
2008-04-15,2.6839,2.6841,2.6614,2.6644,19536,150,0
2008-04-16,2.6643,2.6802,2.659,2.6664,19647,150,0
2008-04-17,2.6662,2.6947,2.6584,2.6875999999999998,21615,150,0
2008-04-18,2.6875,2.7157,2.6869,2.7073,20705,150,0
2008-04-21,2.7109,2.7118,2.6768,2.677,17441,150,0
2008-04-22,2.6771000000000003,2.7007,2.6685,2.6958,19324,150,0
2008-04-23,2.6955999999999998,2.6961,2.6724,2.6739,18378,150,0
2008-04-24,2.6743,2.6854,2.6693,2.6790000000000003,19824,150,0
2008-04-25,2.6794000000000002,2.7105,2.6765,2.7033,20207,150,0
2008-04-28,2.7016999999999998,2.7192,2.6921,2.7076000000000002,12557,150,0
2008-04-29,2.7084,2.71,2.676,2.6804,18465,150,0
2008-04-30,2.6805,2.6983,2.6682,2.6954000000000002,21071,150,0
2008-05-01,2.6955999999999998,2.7044,2.6814,2.6897,17478,150,0
2008-05-02,2.6901,2.7119999999999997,2.686,2.6881,17891,150,0
2008-05-05,2.6906,2.6927,2.6719,2.6795,10982,150,0
2008-05-06,2.6794000000000002,2.6856999999999998,2.668,2.6801,15865,150,0
2008-05-07,2.6799,2.681,2.661,2.6713,18272,150,0
2008-05-08,2.6714,2.7026,2.6657,2.6883,20642,150,0
2008-05-09,2.6851000000000003,2.6864,2.6614,2.664,16596,150,0
2008-05-12,2.6669,2.6874000000000002,2.6635999999999997,2.6683,16843,150,0
2008-05-13,2.6679,2.6798,2.6626,2.6694,20065,150,0
2008-05-14,2.6692,2.6939,2.6654999999999998,2.6833,19137,150,0
2008-05-15,2.683,2.6958,2.6724,2.6804,19086,150,0
2008-05-16,2.6801,2.6821,2.6651,2.6752000000000002,16852,150,0
2008-05-19,2.6766,2.682,2.6677,2.6748,8914,150,0
2008-05-20,2.6749,2.6934,2.668,2.6852,17816,150,0
2008-05-21,2.6854,2.6904,2.6646,2.676,17821,150,0
2008-05-22,2.6757,2.6958,2.6734,2.692,13940,150,0
2008-05-23,2.6916,2.6969,2.6859,2.6884,13467,150,0
2008-05-26,2.6911,2.7013,2.6869,2.6983,5506,150,0
2008-05-27,2.6981,2.7028,2.6868,2.6924,15003,150,0
2008-05-28,2.6938,2.7056,2.6865,2.7004,15787,150,0
2008-05-29,2.7015000000000002,2.7067,2.6884,2.6995,17841,150,0
2008-05-30,2.7007,2.7016999999999998,2.6877,2.6997,16976,150,0
2008-06-02,2.6925,2.6926,2.6711,2.6779,18100,150,0
2008-06-03,2.6783,2.6831,2.6715,2.6746,18413,150,0
2008-06-04,2.6749,2.6787,2.6616999999999997,2.6696,16612,150,0
2008-06-05,2.6696999999999997,2.6769,2.6635,2.6732,18654,150,0
2008-06-06,2.6731,2.6893000000000002,2.6653000000000002,2.6872,16602,150,0
2008-06-09,2.6875,2.6981,2.6799,2.6953,19786,150,0
2008-06-10,2.6954000000000002,2.701,2.6744,2.6835,20855,150,0
2008-06-11,2.6836,2.6986,2.6734,2.6917999999999997,17493,150,0
2008-06-12,2.6919,2.701,2.6793,2.6806,19076,150,0
2008-06-13,2.6807,2.6935000000000002,2.6772,2.6875999999999998,17143,150,0
2008-06-16,2.6837999999999997,2.7058,2.6824,2.693,15278,150,0
2008-06-17,2.6929,2.6957,2.6644,2.6732,18804,150,0
2008-06-18,2.673,2.6856,2.6659,2.6814,14775,150,0
