time,open,high,low,close,tick_volume,spread,real_volume
2007-08-21,0.8352,0.8445,0.8327,0.8395,9524,0,0
2007-08-22,0.8394,0.8523,0.8314,0.8515,5751,0,0
2007-08-23,0.8507,0.8669,0.8504,0.862,6153,0,0
2007-08-24,0.8611,0.8674,0.8545,0.8662,5591,0,0
2007-08-27,0.8658,0.8735,0.8587,0.8594,4704,0,0
2007-08-29,0.8361,0.8526,0.826,0.8497,6263,0,0
2007-08-30,0.8492,0.8511,0.8382,0.8453,5548,0,0
2007-08-31,0.8452,0.8556,0.8414,0.848,5657,0,0
2007-09-03,0.8474,0.8528,0.8454,0.8507,4218,0,0
2007-09-04,0.8506,0.8522,0.8404,0.843,5754,0,0
2007-09-05,0.8427,0.8443,0.8244,0.8273,6187,0,0
2007-09-06,0.8278,0.8359,0.8226,0.832,5899,0,0
2007-09-07,0.8319,0.8325,0.8146,0.821,4385,0,0
2007-09-10,0.8158,0.8299,0.8088,0.8242,11037,0,0
2007-09-11,0.8247,0.8408,0.8216,0.8392,5552,0,0
2007-09-12,0.8391,0.8479,0.8351,0.8439,5827,0,0
2007-09-13,0.844,0.8527,0.8374,0.8396,11116,0,0
2007-09-14,0.839,0.8515,0.8383,0.8484,8303,0,0
2007-09-17,0.8478,0.8489,0.8345,0.838,10019,0,0
2007-09-18,0.8379,0.8595,0.8309,0.8559,12282,0,0
2007-09-19,0.8561,0.8714,0.8535,0.8699,13661,0,0
2007-09-20,0.8696,0.8728,0.8611,0.8652,12870,0,0
2007-09-21,0.8653,0.874,0.8641,0.872,11024,0,0
2007-09-24,0.8713,0.8776,0.8692,0.8757,7392,0,0
2007-09-25,0.8753,0.8759,0.8538,0.8654,12551,0,0
2007-09-26,0.8657,0.873,0.8649,0.8702,9774,0,0
2007-09-27,0.8703,0.8813,0.8697,0.8804,11128,0,0
2007-09-28,0.8801,0.8874,0.8774,0.8814,12485,0,0
2007-10-01,0.8838,0.8958,0.8818,0.8953,10932,0,0
2007-10-02,0.8955,0.8964,0.8848,0.8876,12309,0,0
2007-10-03,0.888,0.8965,0.8859,0.8897,11824,0,0
2007-10-04,0.8896,0.8904,0.8839,0.8864,11686,0,0
2007-10-05,0.886,0.8981,0.8858,0.8961,9440,0,0
2007-10-08,0.8987,0.9053,0.8963,0.903,5514,0,0
2007-10-09,0.9033,0.9067,0.8999,0.9055,10011,0,0
2007-10-10,0.9054,0.9055,0.8975,0.9009,9660,0,0
2007-10-11,0.9008,0.9157,0.9,0.9108,12953,0,0
2007-10-12,0.9107,0.9202,0.9062,0.9197,12621,0,0
2007-10-15,0.9154,0.9171,0.8954,0.9004,11539,0,0
2007-10-16,0.9005,0.9029,0.8738,0.8841,16415,0,0
2007-10-17,0.8839,0.8914,0.8746,0.8866,16592,0,0
2007-10-18,0.8865,0.8875,0.8716,0.8802,14047,0,0
2007-10-19,0.88,0.8837,0.8698,0.8711,13851,0,0
2007-10-22,0.8646,0.8807,0.8564,0.8804,18026,0,0
2007-10-23,0.8807,0.89,0.8787,0.8864,15228,0,0
2007-10-24,0.8862,0.8911,0.8768,0.8846,16621,0,0
2007-10-25,0.8845,0.8891,0.8806,0.8867,15064,0,0
2007-10-26,0.8869,0.893,0.8859,0.8913,12322,0,0
2007-10-29,0.8941,0.8983,0.8926,0.8969,11493,0,0
2007-10-30,0.8968,0.8982,0.8835,0.8857,13966,0,0
2007-10-31,0.8862,0.8957,0.8846,0.8952,15499,0,0
2007-11-01,0.8953,0.8964,0.876,0.8775,17424,0,0
2007-11-02,0.8774,0.8849,0.8745,0.8825,15727,0,0
2007-11-05,0.8813,0.8899,0.8775,0.8886,13385,0,0
