time,open,high,low,close,tick_volume,spread,real_volume
2007-02-12,83.47,83.49,83.1,83.15,2864,80,0
2007-02-13,83.16,83.64,82.86,83.48,6207,80,0
2007-02-14,83.51,83.94,83.4,83.7,7686,80,0
2007-02-15,83.68,83.68,82.55,82.6,9701,80,0
2007-02-16,82.61,83.28,82.58,83.25,6847,80,0
2007-02-19,83.47,83.99,83.44,83.78,5271,80,0
2007-02-20,83.76,84.32,83.71,84.18,5728,80,0
2007-02-21,84.17,85.47,83.72,85.32,9076,80,0
2007-02-22,85.33,85.77,85.08,85.65,6616,80,0
2007-02-23,85.64,85.72,85.3,85.46,6147,80,0
2007-02-26,85.69,85.76,85.17,85.74,5765,80,0
2007-02-27,85.73,85.8,82.01,82.67,10134,80,0
2007-02-28,82.65,83.27,82.28,83.03,11092,80,0
2007-03-01,83.04,83.35,80.94,81.45,12244,80,0
2007-03-02,81.48,81.75,80.08,80.35,10827,80,0
2007-03-05,80.3,80.31,77.47,77.49,15217,80,0
2007-03-06,77.48,79.87,77.39,79.87,11856,80,0
2007-03-07,79.86,80.0,78.45,78.62,10207,80,0
2007-03-08,78.6,80.53,78.11,80.37,11543,80,0
2007-03-09,80.38,81.74,80.37,81.68,9434,80,0
2007-03-12,82.08,82.22,80.81,81.91,9607,80,0
2007-03-14,79.44,81.31,79.21,81.31,13133,80,0
2007-03-15,81.33,81.87,80.94,81.42,10919,80,0
2007-03-16,81.43,81.84,80.93,81.36,10390,80,0
2007-03-19,80.87,82.7,80.85,82.51,10115,80,0
2007-03-20,82.54,82.93,82.28,82.75,10462,80,0
2007-03-21,82.74,83.55,82.56,83.41,8287,80,0
2007-03-22,83.4,84.29,83.01,83.96,9119,80,0
2007-03-23,83.97,84.17,83.52,83.95,8985,80,0
2007-03-26,83.56,84.75,83.56,84.62,9309,80,0
2007-03-27,84.64,85.1,84.32,84.46,8855,80,0
2007-03-28,84.44,84.62,82.52,82.94,8583,80,0
2007-03-29,82.92,84.49,82.89,84.4,9892,80,0
2007-03-30,84.39,84.56,83.78,84.11,11082,80,0
2007-04-02,83.93,85.26,83.72,85.18,9083,80,0
2007-04-03,85.16,85.72,84.92,85.53,8475,80,0
2007-04-04,85.52,85.68,85.05,85.51,9203,80,0
2007-04-05,85.52,85.98,85.28,85.74,7939,80,0
2007-04-06,85.76,86.21,85.75,85.86,3704,80,0
2007-04-09,85.99,86.37,85.76,85.94,4822,80,0
2007-04-10,85.93,87.04,85.74,86.69,8411,80,0
2007-04-11,86.68,87.09,86.45,86.96,7706,80,0
2007-04-12,86.95,87.22,86.35,86.89,7898,80,0
2007-04-13,86.87,88.04,86.87,87.93,9713,80,0
2007-04-16,88.22,88.78,87.93,88.48,8164,80,0
