time,open,high,low,close,tick_volume,spread,real_volume
1999-01-04,0.5287,0.5401,0.5287,0.5382,622,80,0
1999-01-05,0.5383,0.5391,0.534,0.5372,748,80,0
1999-01-06,0.5373,0.5396,0.5342,0.5383,823,80,0
1999-01-07,0.5381,0.5439,0.5375,0.5417,878,80,0
1999-01-08,0.5419,0.543,0.5382,0.5414,668,80,0
1999-01-11,0.5408,0.5492,0.5385,0.547,681,80,0
1999-01-12,0.5471,0.5483,0.5426,0.5441,793,80,0
1999-01-13,0.5442,0.5456,0.5381,0.5387,1050,80,0
1999-01-14,0.539,0.5413,0.537,0.5386,1137,80,0
1999-01-15,0.5387,0.5439,0.5368,0.5382,1124,80,0
1999-01-18,0.537,0.5411,0.5352,0.5372,1022,80,0
1999-01-19,0.537,0.5393,0.5336,0.5382,1389,80,0
1999-01-20,0.5369,0.542,0.5362,0.5404,1678,80,0
1999-01-21,0.5405,0.544,0.5368,0.5426,1599,80,0
1999-01-22,0.5429,0.5431,0.5356,0.5361,1328,80,0
1999-01-25,0.5367,0.537,0.5328,0.5342,1035,80,0
1999-01-26,0.5341,0.5383,0.5326,0.5381,1399,80,0
1999-01-27,0.5382,0.5387,0.5341,0.5356,1589,80,0
1999-01-28,0.5355,0.5375,0.5326,0.5361,1408,80,0
1999-01-29,0.536,0.5406,0.535,0.5382,1131,80,0
1999-02-01,0.5406,0.5445,0.5395,0.5424,1278,80,0
1999-02-02,0.5425,0.5469,0.5424,0.5451,1116,80,0
1999-02-03,0.5452,0.5521,0.5443,0.5515,1361,80,0
1999-02-04,0.5516,0.5539,0.547,0.5502,1345,80,0
1999-02-05,0.5501,0.5538,0.5487,0.5487,1334,80,0
1999-02-08,0.5535,0.5608,0.5535,0.5562,1188,80,0
1999-02-09,0.5557,0.5569,0.5523,0.5527,1204,80,0
1999-02-10,0.5526,0.5545,0.5502,0.552,1222,80,0
1999-02-11,0.5521,0.554,0.5497,0.5513,1182,80,0
1999-02-12,0.5512,0.5521,0.5447,0.549,1304,80,0
1999-02-15,0.5482,0.5493,0.5451,0.5453,948,80,0
1999-02-16,0.5454,0.5457,0.5367,0.5386,1320,80,0
1999-02-17,0.5387,0.5404,0.5362,0.5392,1211,80,0
1999-02-18,0.5393,0.5403,0.538,0.5402,1069,80,0
1999-02-19,0.5399,0.5444,0.5399,0.5434,1061,80,0
1999-02-22,0.5433,0.5442,0.5381,0.5407,1250,80,0
1999-02-23,0.5407,0.5417,0.5359,0.5397,1239,80,0
1999-02-24,0.5394,0.5398,0.5302,0.5325,1321,80,0
1999-02-25,0.5322,0.5327,0.5244,0.5262,1299,80,0
1999-02-26,0.5264,0.5277,0.5217,0.5225,1032,80,0
1999-03-01,0.5213,0.5274,0.5205,0.5267,949,80,0
1999-03-02,0.5267,0.5303,0.5234,0.5282,1156,80,0
1999-03-03,0.5294,0.532,0.5268,0.5277,989,80,0
1999-03-04,0.5278,0.5307,0.525,0.5303,1018,80,0
1999-03-05,0.5299,0.5325,0.5277,0.5307,769,80,0
1999-03-08,0.5304,0.5328,0.5292,0.5322,765,80,0
1999-03-09,0.5319,0.5355,0.5302,0.5332,1219,80,0
1999-03-10,0.5332,0.5381,0.5304,0.5365,1315,80,0
1999-03-11,0.5367,0.5388,0.5317,0.5352,1148,80,0
1999-03-12,0.5354,0.5357,0.5315,0.5339,1068,80,0
1999-03-15,0.5342,0.5351,0.5294,0.53,548,80,0
1999-03-16,0.5299,0.534,0.5263,0.5266,1095,80,0
1999-03-17,0.5269,0.5286,0.5241,0.528,1226,80,0
1999-03-18,0.5281,0.5349,0.5277,0.5315,1369,80,0
1999-03-19,0.5314,0.5337,0.5297,0.5323,816,80,0
1999-03-22,0.5327,0.5376,0.5295,0.5376,1311,80,0
1999-03-23,0.5373,0.539,0.5349,0.5382,1237,80,0
1999-03-24,0.5386,0.5411,0.5368,0.5404,1131,80,0
1999-03-25,0.5407,0.5407,0.5363,0.5377,1182,80,0
1999-03-26,0.5374,0.5389,0.5341,0.5348,893,80,0
1999-03-29,0.5346,0.5357,0.5317,0.5324,1107,80,0
1999-03-30,0.5325,0.5335,0.5301,0.5319,654,80,0
1999-03-31,0.5319,0.5366,0.5293,0.5354,1230,80,0
1999-04-01,0.5348,0.5382,0.5336,0.5336,813,80,0
1999-04-02,0.5333,0.5352,0.5322,0.5342,62,80,0
1999-04-05,0.534,0.5354,0.5311,0.5313,176,80,0
1999-04-06,0.5314,0.533,0.5287,0.5315,842,80,0
1999-04-07,0.5313,0.5341,0.5302,0.5315,913,80,0
