time,open,high,low,close,tick_volume,spread,real_volume
1999-01-04,1.3595,1.3735,1.3595,1.367,6678,50,0
1999-01-05,1.366,1.3726,1.3642,1.3724,4666,50,0
1999-01-06,1.3723,1.4006,1.3704,1.3912,3740,50,0
1999-01-07,1.3909,1.3933,1.375,1.3782,4262,50,0
1999-01-08,1.3780999999999999,1.3999,1.3742,1.3935,5991,50,0
1999-01-11,1.395,1.403,1.3894,1.4009,5236,50,0
1999-01-12,1.4005,1.4060000000000001,1.3855,1.3872,5975,50,0
1999-01-13,1.3873,1.3881000000000001,1.3395000000000001,1.3620999999999999,7036,50,0
1999-01-14,1.3616,1.3707,1.3549,1.3588,5825,50,0
1999-01-15,1.3589,1.3843,1.3491,1.3834,7434,50,0
1999-01-18,1.3808,1.387,1.3756,1.379,4965,50,0
1999-01-19,1.3785,1.3856,1.3721999999999999,1.3789,5494,50,0
1999-01-20,1.3792,1.393,1.3767,1.3889,5477,50,0
1999-01-21,1.3881999999999999,1.3919000000000001,1.379,1.3836,4736,50,0
1999-01-22,1.3831,1.3852,1.3756,1.3834,4833,50,0
1999-01-25,1.3832,1.3881999999999999,1.3745,1.3868,3996,50,0
1999-01-26,1.3869,1.3907,1.3804,1.3897,5399,50,0
1999-01-27,1.3896,1.4128,1.3885,1.409,5910,50,0
1999-01-28,1.4095,1.4184999999999999,1.4043999999999999,1.4132,7819,50,0
1999-01-29,1.4135,1.4212,1.4095,1.416,8835,50,0
1999-02-01,1.4144,1.4252,1.4098,1.4203999999999999,7643,50,0
1999-02-02,1.4207,1.4222000000000001,1.4071,1.4125,10215,50,0
1999-02-03,1.412,1.4183,1.4062000000000001,1.4177,7364,50,0
1999-02-04,1.4177,1.4255,1.4125,1.4125,8195,50,0
1999-02-05,1.4123999999999999,1.4235,1.4075,1.4205,7079,50,0
1999-02-08,1.4209,1.428,1.4139,1.4159,4840,50,0
1999-02-09,1.4167,1.422,1.4104999999999999,1.415,5006,50,0
1999-02-10,1.4149,1.4202,1.4031,1.4097,4890,50,0
1999-02-11,1.4101,1.4273,1.4081000000000001,1.4256,4209,50,0
1999-02-12,1.4255,1.4263,1.414,1.4155,4135,50,0
1999-02-15,1.4157,1.4236,1.4135,1.4234,3257,50,0
1999-02-16,1.4233,1.4329,1.4219,1.4257,3890,50,0
1999-02-17,1.4256,1.427,1.4175,1.4203999999999999,3615,50,0
1999-02-18,1.4205,1.4302000000000001,1.4163999999999999,1.4297,3543,50,0
1999-02-19,1.4298,1.4498,1.4273,1.4462,4964,50,0
