time,open,high,low,close,tick_volume,spread,real_volume
2006-02-03,6.2062,6.2179,6.2054,6.2089,1908,0,0
2006-02-06,6.2044,6.2499,6.1964,6.2364,9694,0,0
2006-02-07,6.2367,6.2517,6.2133,6.2298,10254,0,0
2006-02-08,6.2295,6.261,6.2252,6.2433,9520,0,0
2006-02-09,6.2431,6.2474,6.2215,6.2273,9023,0,0
2006-02-10,6.2276,6.276,6.2057,6.2699,11878,0,0
2006-02-13,6.2743,6.2834,6.2613,6.2711,8399,0,0
2006-02-14,6.2716,6.2925,6.2589,6.2649,8963,0,0
2006-02-15,6.2646,6.2882,6.2444,6.2763,9765,0,0
2006-02-16,6.276,6.2996,6.2681000000000004,6.2706,8719,0,0
2006-02-17,6.2709,6.2965,6.2493,6.2534,12325,0,0
2006-02-20,6.2576,6.2617,6.2323,6.2503,6405,0,0
2006-02-21,6.2506,6.2775,6.2498,6.2658,7940,0,0
2006-02-22,6.2653,6.29,6.254,6.2634,8543,0,0
2006-02-23,6.2632,6.2733,6.2324,6.2585,10612,0,0
2006-02-24,6.2582,6.2867,6.2504,6.28,9950,0,0
2006-02-27,6.287,6.3065999999999995,6.2786,6.2962,9658,0,0
2006-02-28,6.2967,6.3026,6.2471,6.2532,9558,0,0
2006-03-01,6.2535,6.273,6.2287,6.2566,10899,0,0
2006-03-02,6.2562999999999995,6.261,6.1929,6.1992,10052,0,0
2006-03-03,6.1995000000000005,6.2186,6.1896,6.1943,12635,0,0
2006-03-06,6.1906,6.2194,6.1688,6.2104,10095,0,0
2006-03-07,6.2107,6.2834,6.203,6.2736,12144,0,0
2006-03-08,6.2733,6.2807,6.2451,6.2513,9655,0,0
2006-03-09,6.251,6.2675,6.2384,6.2638,10078,0,0
2006-03-10,6.2643,6.2885,6.2526,6.263,8883,0,0
2006-03-13,6.26,6.2608,6.232,6.2358,8595,0,0
2006-03-14,6.2361,6.2458,6.1996,6.2085,10256,0,0
2006-03-15,6.2083,6.2129,6.1785,6.1814,9735,0,0
2006-03-16,6.1822,6.1978,6.12,6.1291,11368,0,0
2006-03-17,6.1288,6.1444,6.1114,6.1208,11125,0,0
2006-03-20,6.1255,6.1419,6.1166,6.1355,9474,0,0
2006-03-21,6.1352,6.1777,6.132,6.1588,11306,0,0
2006-03-22,6.159,6.1827,6.1578,6.1769,9618,0,0
2006-03-23,6.1772,6.2391,6.1756,6.2325,10129,0,0
2006-03-24,6.2327,6.2406,6.1925,6.1984,9031,0,0
2006-03-27,6.1967,6.2139,6.187,6.2085,7608,0,0
2006-03-28,6.2082,6.2204,6.1617,6.2166,12308,0,0
2006-03-29,6.2169,6.2268,6.1915,6.2046,10089,0,0
2006-03-30,6.2035,6.2056000000000004,6.129,6.1318,12183,0,0
2006-03-31,6.1323,6.1741,6.1273,6.1562,11954,0,0
2006-04-03,6.156,6.1998,6.1411999999999995,6.15,11801,0,0
2006-04-04,6.1497,6.1553,6.0771,6.0868,12845,0,0
2006-04-05,6.0866,6.0945,6.0635,6.0705,11912,0,0
2006-04-06,6.0707,6.1172,6.0504,6.1068999999999996,12822,0,0
2006-04-07,6.1071,6.1708,6.1034,6.1706,12741,0,0
2006-04-11,6.1566,6.1682,6.1358,6.1447,9750,0,0
2006-04-12,6.1452,6.1825,6.1306,6.1638,9570,0,0
2006-04-13,6.1639,6.1816,6.1493,6.1622,9870,0,0
2006-04-14,6.1623,6.1661,6.1565,6.1605,2912,0,0
2006-04-17,6.1605,6.1605,6.0717,6.0871,8989,0,0
2006-04-18,6.0874,6.103,6.0314,6.0337,11963,0,0
2006-04-19,6.0335,6.0709,6.0183,6.0271,12942,0,0
2006-04-20,6.0269,6.0708,6.0262,6.0572,11222,0,0
2006-04-21,6.0575,6.0793,6.0359,6.0452,9690,0,0
2006-04-24,6.0302,6.0475,6.0088,6.0241,11339,0,0
2006-04-25,6.0233,6.0323,5.996,6.0016,11741,0,0
2006-04-26,6.0018,6.0212,5.9809,5.9915,11889,0,0
2006-04-27,5.9924,6.0118,5.9437,5.9527,11066,0,0
2006-04-28,5.9525,5.9566,5.9009,5.9029,12318,0,0
2006-05-02,5.9326,5.9361,5.8856,5.9106,11626,0,0
2006-05-03,5.9108,5.9205,5.8837,5.9015,11849,0,0
2006-05-04,5.9018,5.9301,5.8597,5.8719,12471,0,0
2006-05-05,5.8717,5.882,5.841,5.8581,13406,0,0
2006-05-08,5.8582,5.8732,5.8313,5.8681,11517,0,0
2006-05-09,5.8683,5.8870000000000005,5.8324,5.8403,11499,0,0
2006-05-10,5.8413,5.8464,5.8093,5.8318,26006,0,0
2006-05-11,5.8329,5.876,5.7916,5.8081,16638,0,0
2006-05-12,5.8085,5.8106,5.7538,5.7663,13832,0,0
2006-05-15,5.7566,5.8322,5.7468,5.8225,12655,0,0
2006-05-16,5.8246,5.8357,5.7928,5.7966,15850,0,0
2006-05-17,5.7964,5.8657,5.77,5.8543,20941,0,0
2006-05-18,5.8552,5.856,5.7875,5.7955,19503,0,0
2006-05-19,5.7954,5.8718,5.792,5.8334,16194,0,0
2006-05-22,5.8411,5.8716,5.7851,5.7966,13766,0,0
2006-05-23,5.7964,5.8311,5.7877,5.8307,13594,0,0
2006-05-24,5.83,5.8546,5.7814,5.8441,16745,0,0
2006-05-25,5.8443000000000005,5.8481,5.8121,5.8121,12973,0,0
2006-05-26,5.8126,5.8705,5.8100000000000005,5.8543,13095,0,0
2006-05-29,5.8596,5.8663,5.8395,5.8488,7187,0,0
2006-05-30,5.848,5.8506,5.7753,5.7913,20296,0,0
2006-05-31,5.7916,5.8222000000000005,5.7780000000000005,5.8172,23829,0,0
2006-06-01,5.817,5.8601,5.8143,5.8192,22853,0,0
2006-06-02,5.8193,5.827,5.7625,5.772,20201,0,0
2006-06-05,5.768,5.7801,5.7452,5.7789,14957,0,0
2006-06-06,5.7791,5.8222000000000005,5.7652,5.8153,16987,0,0
2006-06-07,5.8156,5.843,5.8096,5.8245000000000005,16703,0,0
2006-06-08,5.8244,5.9049,5.8221,5.8936,17951,0,0
2006-06-09,5.8932,5.9167,5.8772,5.8972999999999995,14230,0,0
2006-06-12,5.9093,5.9309,5.8919,5.9235,12426,0,0
2006-06-13,5.9233,5.9466,5.9078,5.9416,19582,0,0
2006-06-14,5.9417,5.9453,5.8926,5.913,16316,0,0
2006-06-15,5.9131,5.9227,5.8876,5.8995999999999995,16905,0,0
2006-06-16,5.9003,5.9065,5.8812999999999995,5.8955,14369,0,0
