time,open,high,low,close,tick_volume,spread,real_volume
2008-05-15,23.799,23.826,23.712,23.8,12407,0,0
2008-05-16,23.799,23.806,23.591,23.614,10426,0,0
2008-05-19,23.597,23.711,23.592,23.689,5007,0,0
2008-05-20,23.676,23.694,23.556,23.596,6789,0,0
2008-05-21,23.603,23.609,23.455,23.458,5581,0,0
2008-05-22,23.467,23.54,23.449,23.504,5893,0,0
2008-05-23,23.501,23.52,23.41,23.444,6425,0,0
2008-05-26,23.46,23.469,23.328,23.421,6838,0,0
2008-05-27,23.409,23.537,23.377,23.537,5221,0,0
2008-05-28,23.514,23.547,23.467,23.524,11409,0,0
2008-05-29,23.521,23.643,23.502,23.62,9004,0,0
2008-05-30,23.62,23.669,23.566,23.584,8860,0,0
2008-06-02,23.582,23.663,23.569,23.607,11568,0,0
2008-06-03,23.607,23.728,23.533,23.71,12221,0,0
2008-06-04,23.71,23.725,23.66,23.698,14080,0,0
2008-06-05,23.718,23.761,23.567,23.571,6813,0,0
2008-06-06,23.582,23.606,23.435,23.438,7816,0,0
2008-06-09,23.447,23.575,23.264,23.555,8504,0,0
2008-06-10,23.552,23.625,23.48,23.612,19444,0,0
2008-06-11,23.612,23.625,23.507,23.539,10327,0,0
2008-06-12,23.542,23.68,23.476,23.632,10035,0,0
2008-06-13,23.625,23.748,23.613,23.685,7308,0,0
2008-06-16,23.687,23.707,23.545,23.59,9426,0,0
2008-06-17,23.589,23.595,23.521,23.553,18371,0,0
2008-06-18,23.554,23.587,23.524,23.528,9210,0,0
2008-06-19,23.525,23.587,23.479,23.549,5673,0,0
2008-06-20,23.544,23.558,23.428,23.471,9244,0,0
2008-06-23,23.455,23.588,23.452,23.538,4561,0,0
2008-06-24,23.534,23.564,23.451,23.504,10466,0,0
2008-06-25,23.499,23.538,23.4,23.42,15366,0,0
2008-06-26,23.422,23.443,23.326,23.348,18423,0,0
2008-06-27,23.348,23.371,23.31,23.316,16151,0,0
2008-06-30,23.328,23.37,23.272,23.345,6876,0,0
2008-07-01,23.35,23.403,23.048,23.313,15011,0,0
2008-07-02,23.329,23.41,23.266,23.27,14278,0,0
2008-07-03,23.275,23.437,23.248,23.42,12528,0,0
2008-07-04,23.421,23.443,23.378,23.386,10817,0,0
2008-07-07,23.4,23.474,23.338,23.371,12276,0,0
2008-07-08,23.371,23.451,23.354,23.426,19388,0,0
2008-07-09,23.426,23.441,23.265,23.325,27001,0,0
2008-07-10,23.326,23.364,23.24,23.252,22252,0,0
