time,open,high,low,close,tick_volume,spread,real_volume
2003-06-06 20:00:00,0.6596,0.6602,0.658,0.6589,715,50,0
2003-06-09 00:00:00,0.659,0.6599,0.6573,0.6583,744,50,0
2003-06-09 04:00:00,0.6582,0.6613,0.658,0.66,936,50,0
2003-06-09 08:00:00,0.66,0.6613,0.6565,0.6591,1780,50,0
2003-06-09 12:00:00,0.6592,0.6618,0.6574,0.6596,1534,50,0
2003-06-09 16:00:00,0.6595,0.6607,0.657,0.6573,1510,50,0
2003-06-09 20:00:00,0.6573,0.6578,0.656,0.6571,1010,50,0
2003-06-10 00:00:00,0.657,0.658,0.6557,0.6569,1011,50,0
2003-06-10 04:00:00,0.6572,0.6585,0.6565,0.6575,1244,50,0
2003-06-10 08:00:00,0.6575,0.6595,0.656,0.6577,1639,50,0
2003-06-10 12:00:00,0.6578,0.6593,0.6562,0.6576,1356,50,0
2003-06-10 16:00:00,0.6582,0.6585,0.6552,0.6571,1716,50,0
2003-06-10 20:00:00,0.6573,0.6584,0.6548,0.6557,1016,50,0
2003-06-11 00:00:00,0.6557,0.656,0.6542,0.6556,1060,50,0
2003-06-11 04:00:00,0.655,0.6577,0.6549,0.6571,969,50,0
2003-06-11 08:00:00,0.6571,0.659,0.6564,0.658,1554,50,0
2003-06-11 12:00:00,0.6579,0.663,0.6578,0.6624,1775,50,0
2003-06-11 16:00:00,0.662,0.665,0.6614,0.6633,1640,50,0
2003-06-11 20:00:00,0.6636,0.6641,0.6617,0.6631,924,50,0
2003-06-12 00:00:00,0.6627,0.6647,0.6612,0.6637,1381,50,0
2003-06-12 04:00:00,0.6636,0.6657,0.6626,0.665,1369,50,0
2003-06-12 08:00:00,0.6651,0.6667,0.663,0.6642,1771,50,0
2003-06-12 12:00:00,0.6641,0.6647,0.6622,0.6638,1622,50,0
2003-06-12 16:00:00,0.6639,0.6661,0.6629,0.6649,1266,50,0
2003-06-12 20:00:00,0.6649,0.6661,0.6642,0.6646,1002,50,0
2003-06-13 00:00:00,0.6651,0.667,0.6634,0.6645,1263,50,0
2003-06-13 04:00:00,0.6645,0.6649,0.6628,0.6642,1128,50,0
2003-06-13 08:00:00,0.6643,0.6658,0.6634,0.6649,1374,50,0
2003-06-13 12:00:00,0.6647,0.6664,0.6636,0.6654,1578,50,0
2003-06-13 16:00:00,0.6654,0.6689,0.6646,0.6682,1668,50,0
2003-06-13 20:00:00,0.6682,0.6691,0.6679,0.6686,675,50,0
2003-06-16 00:00:00,0.6685,0.669,0.667,0.6682,874,50,0
2003-06-16 04:00:00,0.6683,0.6688,0.6668,0.668,868,50,0
2003-06-16 08:00:00,0.668,0.6704,0.6666,0.669,1632,50,0
2003-06-16 12:00:00,0.669,0.6695,0.6662,0.667,1685,50,0
2003-06-16 16:00:00,0.6671,0.6687,0.6658,0.6681,1431,50,0
2003-06-16 20:00:00,0.668,0.6696,0.6669,0.6676,861,50,0
2003-06-17 00:00:00,0.6673,0.6695,0.6672,0.6682,1087,50,0
2003-06-17 04:00:00,0.6683,0.6712,0.6681,0.6708,932,50,0
2003-06-17 08:00:00,0.6707,0.6715,0.6678,0.6693,1077,50,0
2003-06-17 12:00:00,0.6693,0.6697,0.6662,0.6679,1484,50,0
2003-06-17 16:00:00,0.668,0.6722,0.6664,0.6711,1181,50,0
2003-06-17 20:00:00,0.6714,0.6714,0.669,0.6696,643,50,0
2003-06-18 00:00:00,0.6695,0.6712,0.6689,0.6703,777,50,0
2003-06-18 04:00:00,0.6704,0.6714,0.6699,0.6704,707,50,0
2003-06-18 08:00:00,0.6704,0.6715,0.6687,0.671,1300,50,0
2003-06-18 12:00:00,0.671,0.6738,0.6693,0.6719,1704,50,0
2003-06-18 16:00:00,0.672,0.6736,0.6712,0.6722,1214,50,0
2003-06-18 20:00:00,0.6722,0.6741,0.6719,0.673,721,50,0
2003-06-19 00:00:00,0.673,0.6736,0.6716,0.672,931,50,0
2003-06-19 04:00:00,0.6719,0.6723,0.6647,0.6655,1611,50,0
2003-06-19 08:00:00,0.6655,0.6691,0.6644,0.6679,1802,50,0
2003-06-19 12:00:00,0.6681,0.6701,0.6659,0.6672,1809,50,0
2003-06-19 16:00:00,0.6672,0.6727,0.6664,0.6713,1777,50,0
2003-06-19 20:00:00,0.6712,0.6719,0.67,0.6715,968,50,0
2003-06-20 00:00:00,0.6715,0.6731,0.6694,0.6726,1358,50,0
2003-06-20 04:00:00,0.6726,0.6728,0.6694,0.6706,1374,50,0
2003-06-20 08:00:00,0.6705,0.673,0.6702,0.6711,1515,50,0
2003-06-20 12:00:00,0.6712,0.6722,0.6689,0.6698,1795,50,0
2003-06-20 16:00:00,0.6699,0.6701,0.666,0.6672,1854,50,0
2003-06-20 20:00:00,0.667,0.6691,0.6666,0.6674,640,50,0
2003-06-23 00:00:00,0.6674,0.6694,0.6653,0.6665,1278,50,0
2003-06-23 04:00:00,0.6664,0.6684,0.6657,0.6676,1095,50,0
2003-06-23 08:00:00,0.6676,0.668,0.6618,0.6642,1954,50,0
2003-06-23 12:00:00,0.664,0.6659,0.6611,0.6626,2073,50,0
2003-06-23 16:00:00,0.6625,0.665,0.661,0.6639,1297,50,0
