time,open,high,low,close,tick_volume,spread,real_volume
2003-05-13 00:00:00,89.27,89.34,88.9,89.22,236,60,0
2003-05-13 04:00:00,89.21,89.23,88.82,88.85,714,60,0
2003-05-13 08:00:00,88.85,89.24,88.66,89.04,982,60,0
2003-05-13 12:00:00,89.04,89.1,88.57,88.75,1034,60,0
2003-05-13 16:00:00,88.75,88.83,88.39,88.73,861,60,0
2003-05-13 20:00:00,88.73,89.01,88.67,88.92,393,60,0
2003-05-14 00:00:00,88.93,88.98,88.54,88.56,197,60,0
2003-05-14 04:00:00,88.6,88.78,88.54,88.58,419,60,0
2003-05-14 08:00:00,88.58,88.76,88.22,88.61,905,60,0
2003-05-14 12:00:00,88.63,88.88,88.22,88.48,976,60,0
2003-05-14 16:00:00,88.47,88.63,88.03,88.38,1053,60,0
2003-05-14 20:00:00,88.32,88.4,88.12,88.12,312,60,0
2003-05-15 00:00:00,88.1,88.26,88.06,88.11,169,60,0
2003-05-15 04:00:00,88.14,88.2,87.89,87.98,525,60,0
2003-05-15 08:00:00,87.96,88.02,87.71,87.87,987,60,0
2003-05-15 12:00:00,87.86,88.16,87.75,88.04,1161,60,0
2003-05-15 16:00:00,88.08,88.44,87.62,87.84,1071,60,0
2003-05-15 20:00:00,87.83,88.06,87.71,87.91,481,60,0
2003-05-16 00:00:00,87.98,88.18,87.9,87.95,192,60,0
2003-05-16 04:00:00,87.96,88.08,87.91,87.96,350,60,0
2003-05-16 08:00:00,87.97,88.44,87.89,88.44,848,60,0
2003-05-16 12:00:00,88.43,88.86,88.21,88.73,1113,60,0
2003-05-16 16:00:00,88.7,88.88,88.45,88.72,902,60,0
2003-05-16 20:00:00,88.72,88.87,88.55,88.8,343,60,0
2003-05-19 00:00:00,89.17,89.28,89.0,89.12,198,60,0
2003-05-19 04:00:00,89.09,89.15,88.94,88.98,448,60,0
2003-05-19 08:00:00,88.94,89.32,88.72,89.16,1003,60,0
2003-05-19 12:00:00,89.14,90.03,88.98,90.01,1089,60,0
2003-05-19 16:00:00,89.99,90.31,89.9,90.3,880,60,0
2003-05-19 20:00:00,90.27,90.53,90.22,90.22,554,60,0
2003-05-20 00:00:00,90.25,90.3,90.08,90.25,199,60,0
2003-05-20 04:00:00,90.24,90.44,90.22,90.35,349,60,0
2003-05-20 08:00:00,90.34,90.4,89.95,90.13,843,60,0
2003-05-20 12:00:00,90.11,90.34,89.96,90.17,934,60,0
2003-05-20 16:00:00,90.16,90.4,89.9,90.28,970,60,0
2003-05-20 20:00:00,90.29,90.53,90.24,90.35,494,60,0
2003-05-21 00:00:00,90.39,90.67,90.39,90.48,183,60,0
2003-05-21 04:00:00,90.55,90.56,90.36,90.45,314,60,0
2003-05-21 08:00:00,90.43,90.73,90.39,90.59,753,60,0
2003-05-21 12:00:00,90.56,91.15,90.42,91.08,1037,60,0
2003-05-21 16:00:00,91.02,91.08,90.58,90.66,997,60,0
2003-05-21 20:00:00,90.64,90.71,90.3,90.51,547,60,0
2003-05-22 00:00:00,90.55,90.7,90.47,90.5,196,60,0
2003-05-22 04:00:00,90.53,90.65,90.49,90.56,288,60,0
2003-05-22 08:00:00,90.57,90.85,90.38,90.79,861,60,0
2003-05-22 12:00:00,90.79,90.87,90.54,90.55,1050,60,0
2003-05-22 16:00:00,90.54,90.73,90.32,90.57,1048,60,0
2003-05-22 20:00:00,90.56,90.61,90.4,90.44,440,60,0
2003-05-23 00:00:00,90.51,90.6,90.37,90.5,164,60,0
2003-05-23 04:00:00,90.51,90.57,90.27,90.31,303,60,0
2003-05-23 08:00:00,90.3,90.82,90.06,90.7,1062,60,0
2003-05-23 12:00:00,90.71,90.83,90.42,90.56,1151,60,0
2003-05-23 16:00:00,90.57,90.83,90.33,90.77,866,60,0
2003-05-23 20:00:00,90.79,90.81,90.64,90.71,257,60,0
2003-05-26 00:00:00,90.56,90.63,90.46,90.53,159,60,0
2003-05-26 04:00:00,90.54,90.62,90.45,90.51,278,60,0
2003-05-26 08:00:00,90.52,90.85,90.46,90.72,476,60,0
2003-05-26 12:00:00,90.71,90.89,90.64,90.71,376,60,0
2003-05-26 16:00:00,90.7,90.84,90.58,90.77,413,60,0
2003-05-26 20:00:00,90.78,90.89,90.7,90.8,136,60,0
2003-05-27 00:00:00,90.79,90.9,90.68,90.83,100,60,0
2003-05-27 04:00:00,90.8,90.96,90.6,90.77,535,60,0
2003-05-27 08:00:00,90.76,91.07,90.66,91.05,1011,60,0
2003-05-27 12:00:00,91.08,91.11,90.7,90.88,952,60,0
2003-05-27 16:00:00,90.86,91.35,90.81,91.25,1138,60,0
2003-05-27 20:00:00,91.26,91.42,91.05,91.11,442,60,0
2003-05-28 00:00:00,91.1,91.14,90.95,91.04,145,60,0
2003-05-28 04:00:00,91.06,91.11,90.94,91.05,487,60,0
2003-05-28 08:00:00,91.03,91.21,90.7,91.03,1098,60,0
2003-05-28 12:00:00,91.02,91.41,90.96,91.24,1217,60,0
2003-05-28 16:00:00,91.25,91.67,91.06,91.55,1117,60,0
2003-05-28 20:00:00,91.56,91.71,91.38,91.48,474,60,0
2003-05-29 00:00:00,91.47,91.63,91.33,91.62,176,60,0
2003-05-29 04:00:00,91.59,91.71,91.42,91.57,548,60,0
2003-05-29 08:00:00,91.59,91.72,91.01,91.11,1284,60,0
2003-05-29 12:00:00,91.09,91.57,91.04,91.49,1457,60,0
2003-05-29 16:00:00,91.43,92.05,91.34,91.96,1242,60,0
2003-05-29 20:00:00,91.98,92.09,91.86,91.95,584,60,0
2003-05-30 00:00:00,91.94,92.11,91.89,92.01,182,60,0
2003-05-30 04:00:00,91.99,92.03,91.81,91.9,607,60,0
2003-05-30 08:00:00,91.93,92.13,91.77,91.98,1155,60,0
2003-05-30 12:00:00,91.97,92.18,91.78,92.1,1062,60,0
2003-05-30 16:00:00,92.12,92.18,91.64,91.83,1114,60,0
2003-05-30 20:00:00,91.84,92.01,91.72,91.99,463,60,0
2003-06-02 00:00:00,91.67,91.71,91.19,91.22,265,60,0
2003-06-02 04:00:00,91.24,91.63,90.87,91.42,741,60,0
2003-06-02 08:00:00,91.41,91.43,90.5,90.58,1208,60,0
2003-06-02 12:00:00,90.55,91.01,90.53,90.75,1088,60,0
2003-06-02 16:00:00,90.77,91.5,90.73,91.35,1065,60,0
2003-06-02 20:00:00,91.33,91.38,91.02,91.3,414,60,0
2003-06-03 00:00:00,91.31,91.35,90.89,90.9,185,60,0
2003-06-03 04:00:00,90.92,91.15,90.91,91.06,406,60,0
2003-06-03 08:00:00,91.09,91.2,90.82,90.86,906,60,0
2003-06-03 12:00:00,90.87,90.93,90.62,90.8,982,60,0
2003-06-03 16:00:00,90.79,91.08,90.62,91.04,1020,60,0
2003-06-03 20:00:00,91.02,91.12,90.84,90.9,435,60,0
2003-06-04 00:00:00,90.94,91.09,90.81,90.86,214,60,0
2003-06-04 04:00:00,90.88,90.88,90.44,90.57,534,60,0
2003-06-04 08:00:00,90.53,90.8,90.22,90.31,947,60,0
2003-06-04 12:00:00,90.34,90.59,90.1,90.47,936,60,0
2003-06-04 16:00:00,90.47,90.53,90.2,90.31,944,60,0
2003-06-04 20:00:00,90.33,90.45,90.07,90.14,496,60,0
2003-06-05 00:00:00,90.12,90.21,89.69,89.71,231,60,0
2003-06-05 04:00:00,89.73,90.04,89.69,90.02,468,60,0
2003-06-05 08:00:00,90.0,90.23,89.5,89.78,1012,60,0
2003-06-05 12:00:00,89.78,90.63,89.58,90.36,1369,60,0
2003-06-05 16:00:00,90.37,90.86,90.27,90.68,1298,60,0
2003-06-05 20:00:00,90.71,90.78,90.43,90.44,519,60,0
2003-06-06 00:00:00,90.46,90.62,90.36,90.59,192,60,0
2003-06-06 04:00:00,90.58,90.63,90.35,90.5,407,60,0
2003-06-06 08:00:00,90.52,90.61,90.21,90.43,960,60,0
2003-06-06 12:00:00,90.43,90.49,89.83,90.13,1262,60,0
2003-06-06 16:00:00,90.12,90.19,89.67,90.08,1163,60,0
2003-06-06 20:00:00,90.08,90.11,89.77,89.93,404,60,0
2003-06-09 00:00:00,90.04,90.06,89.36,89.56,191,60,0
2003-06-09 04:00:00,89.6,89.81,89.56,89.69,533,60,0
2003-06-09 08:00:00,89.69,90.03,89.4,89.74,882,60,0
2003-06-09 12:00:00,89.73,90.37,89.47,90.07,1138,60,0
