time,open,high,low,close,tick_volume,spread,real_volume
2003-05-14 12:00:00,134.15,134.36,133.28,133.64,2349,50,0
2003-05-14 16:00:00,133.66,133.81,133.19,133.57,2754,50,0
2003-05-14 20:00:00,133.62,133.76,133.39,133.42,1818,50,0
2003-05-15 00:00:00,133.39,133.58,133.22,133.31,1477,50,0
2003-05-15 04:00:00,133.33,133.34,132.82,132.91,1836,50,0
2003-05-15 08:00:00,132.94,133.05,132.59,132.75,2315,50,0
2003-05-15 12:00:00,132.74,133.09,132.41,132.99,2461,50,0
2003-05-15 16:00:00,132.98,133.12,132.26,132.42,2227,50,0
2003-05-15 20:00:00,132.43,132.88,132.37,132.62,1618,50,0
2003-05-16 00:00:00,132.67,132.8,132.47,132.61,1356,50,0
2003-05-16 04:00:00,132.62,132.78,132.5,132.55,1222,50,0
2003-05-16 08:00:00,132.55,133.2,132.46,133.15,1956,50,0
2003-05-16 12:00:00,133.14,133.9,132.96,133.81,2418,50,0
2003-05-16 16:00:00,133.82,134.23,133.72,134.13,1777,50,0
2003-05-16 20:00:00,134.1,134.61,133.97,134.6,1240,50,0
2003-05-19 00:00:00,134.92,135.3,134.67,134.98,1676,50,0
2003-05-19 04:00:00,134.98,135.05,134.66,134.67,1432,50,0
2003-05-19 08:00:00,134.7,135.16,134.38,134.89,2144,50,0
2003-05-19 12:00:00,134.87,136.33,134.66,136.25,2571,50,0
2003-05-19 16:00:00,136.25,136.5,136.05,136.43,2271,50,0
2003-05-19 20:00:00,136.46,136.9,136.29,136.38,1869,50,0
2003-05-20 00:00:00,136.4,136.64,136.19,136.43,1748,50,0
2003-05-20 04:00:00,136.43,136.76,136.38,136.7,1511,50,0
2003-05-20 08:00:00,136.66,136.78,136.09,136.31,2166,50,0
2003-05-20 12:00:00,136.35,136.59,136.08,136.36,2299,50,0
2003-05-20 16:00:00,136.37,136.68,136.0,136.55,2199,50,0
2003-05-20 20:00:00,136.53,136.88,136.43,136.63,1676,50,0
2003-05-21 00:00:00,136.66,137.01,136.63,136.79,1666,50,0
2003-05-21 04:00:00,136.78,136.89,136.52,136.62,1521,50,0
2003-05-21 08:00:00,136.63,136.82,136.45,136.67,2014,50,0
2003-05-21 12:00:00,136.64,137.46,136.46,137.25,2293,50,0
2003-05-21 16:00:00,137.25,137.37,136.95,137.11,2370,50,0
2003-05-21 20:00:00,137.11,137.17,136.63,136.98,1886,50,0
2003-05-22 00:00:00,136.99,137.17,136.74,136.87,1913,50,0
2003-05-22 04:00:00,136.83,137.03,136.67,136.94,1745,50,0
2003-05-22 08:00:00,136.95,137.31,136.8,137.21,1981,50,0
2003-05-22 12:00:00,137.19,137.34,136.9,136.93,2198,50,0
2003-05-22 16:00:00,136.93,137.43,136.8,137.22,2204,50,0
2003-05-22 20:00:00,137.2,137.26,136.98,137.09,1478,50,0
2003-05-23 00:00:00,137.14,137.28,136.93,137.14,1505,50,0
2003-05-23 04:00:00,137.16,137.24,136.78,136.97,1432,50,0
2003-05-23 08:00:00,136.96,138.13,136.9,137.91,2424,50,0
2003-05-23 12:00:00,137.92,138.1,137.61,137.81,2529,50,0
2003-05-23 16:00:00,137.81,138.34,137.61,138.28,2111,50,0
2003-05-23 20:00:00,138.24,138.54,138.14,138.4,1180,50,0
2003-05-26 00:00:00,138.23,138.31,138.01,138.06,1271,50,0
2003-05-26 04:00:00,138.09,138.23,137.98,138.07,1443,50,0
2003-05-26 08:00:00,138.07,138.61,137.95,138.39,1992,50,0
2003-05-26 12:00:00,138.39,138.71,138.31,138.51,1842,50,0
2003-05-26 16:00:00,138.52,138.8,138.41,138.7,1640,50,0
2003-05-26 20:00:00,138.73,138.96,138.57,138.72,1004,50,0
2003-05-27 00:00:00,138.67,138.83,138.49,138.63,1397,50,0
2003-05-27 04:00:00,138.65,138.92,138.32,138.51,1686,50,0
2003-05-27 08:00:00,138.48,139.15,138.38,139.03,2065,50,0
2003-05-27 12:00:00,139.04,139.16,138.34,138.69,2143,50,0
2003-05-27 16:00:00,138.68,139.07,138.45,139.0,2128,50,0
2003-05-27 20:00:00,139.0,139.19,138.52,138.56,1274,50,0
2003-05-28 00:00:00,138.55,138.7,138.44,138.62,1301,50,0
2003-05-28 04:00:00,138.62,138.71,138.42,138.61,1587,50,0
2003-05-28 08:00:00,138.62,138.79,138.07,138.68,2163,50,0
2003-05-28 12:00:00,138.67,139.17,138.55,139.02,2494,50,0
2003-05-28 16:00:00,139.0,139.74,138.91,139.6,2200,50,0
2003-05-28 20:00:00,139.61,139.73,139.37,139.55,1334,50,0
2003-05-29 00:00:00,139.54,139.81,139.27,139.71,1695,50,0
2003-05-29 04:00:00,139.71,139.89,139.44,139.68,2094,50,0
2003-05-29 08:00:00,139.71,139.93,139.13,139.27,2805,50,0
2003-05-29 12:00:00,139.24,139.88,139.18,139.69,2748,50,0
2003-05-29 16:00:00,139.72,140.73,139.66,140.45,2863,50,0
2003-05-29 20:00:00,140.49,140.79,140.36,140.59,2134,50,0
2003-05-30 00:00:00,140.56,140.74,140.4,140.61,1882,50,0
