time,open,high,low,close,tick_volume,spread,real_volume
2007-08-21 00:00:00,3.0326,3.0344,3.029,3.0316,668,150,0
2007-08-21 04:00:00,3.0319,3.0338,3.0278,3.0306,1425,150,0
2007-08-21 08:00:00,3.0305,3.033,3.0158,3.0185,4722,150,0
2007-08-21 12:00:00,3.0184,3.0371,3.0181,3.0371,1749,150,0
2007-08-21 16:00:00,3.037,3.0445,3.0302,3.0379,1105,150,0
2007-08-21 20:00:00,3.0378,3.0401,3.0332,3.0347,745,150,0
2007-08-22 00:00:00,3.0381,3.04,3.033,3.0353,706,150,0
2007-08-22 04:00:00,3.0351,3.036,3.0286,3.031,773,150,0
2007-08-22 08:00:00,3.0307,3.0337,3.0269,3.0311,1070,150,0
2007-08-22 12:00:00,3.0313,3.042,3.0313,3.0378,1131,150,0
2007-08-22 16:00:00,3.0377,3.0416,3.0332,3.0403000000000002,1253,150,0
2007-08-22 20:00:00,3.0406,3.0435,3.0354,3.0401,717,150,0
2007-08-23 00:00:00,3.0415,3.045,3.0356,3.0378,814,150,0
2007-08-23 04:00:00,3.038,3.0433,3.0365,3.0403000000000002,805,150,0
2007-08-23 08:00:00,3.0406,3.0532,3.0357,3.0532,1333,150,0
2007-08-23 12:00:00,3.0535,3.0581,3.0485,3.0569,1524,150,0
2007-08-23 16:00:00,3.0568,3.0582,3.0515,3.0515,1181,150,0
2007-08-23 20:00:00,3.0496,3.0532,3.0446,3.0489,889,150,0
2007-08-24 00:00:00,3.0471,3.0562,3.0453,3.056,685,150,0
2007-08-24 04:00:00,3.0562,3.0588,3.0504,3.0522,768,150,0
2007-08-24 08:00:00,3.0517,3.0561,3.0466,3.0528,1225,150,0
2007-08-24 12:00:00,3.0529,3.0638,3.0502,3.0631,1303,150,0
2007-08-24 16:00:00,3.0619,3.0651,3.0547,3.0621,1193,150,0
2007-08-24 20:00:00,3.0619,3.0633,3.0587,3.0626,561,150,0
2007-08-27 00:00:00,3.0618,3.0687,3.0604,3.0661,802,150,0
2007-08-27 04:00:00,3.066,3.0676,3.0591,3.0636,690,150,0
2007-08-27 08:00:00,3.064,3.0665,3.0594,3.061,922,150,0
2007-08-27 12:00:00,3.0608,3.0661,3.0592,3.0644,900,150,0
2007-08-27 16:00:00,3.0641,3.0648,3.0572,3.0593,857,150,0
2007-08-27 20:00:00,3.0591,3.0623,3.0573,3.0583,638,150,0
2007-08-29 00:00:00,3.0561,3.0616,3.0495,3.0498,937,150,0
2007-08-29 04:00:00,3.0492,3.0587,3.0492,3.0532,879,150,0
2007-08-29 08:00:00,3.0531,3.0691,3.0498,3.0673,1278,150,0
2007-08-29 12:00:00,3.0672,3.0741,3.0631,3.0705,1209,150,0
2007-08-29 16:00:00,3.0707,3.0747,3.0663,3.0696,1239,150,0
2007-08-29 20:00:00,3.0688,3.0712,3.0661,3.069,819,150,0
2007-08-30 00:00:00,3.0688,3.07,3.0642,3.0683,748,150,0
2007-08-30 04:00:00,3.0686,3.0719,3.0658,3.0691,753,150,0
2007-08-30 08:00:00,3.0694,3.0756,3.0585,3.0605,1327,150,0
2007-08-30 12:00:00,3.0598,3.0715,3.0554,3.0703,1157,150,0
2007-08-30 16:00:00,3.0701,3.0764,3.0682,3.0703,1218,150,0
2007-08-30 20:00:00,3.0705999999999998,3.0712,3.0629,3.0656,843,150,0
2007-08-31 00:00:00,3.0658,3.0711,3.0656,3.0699,699,150,0
2007-08-31 04:00:00,3.0686,3.072,3.0624,3.0667,725,150,0
2007-08-31 08:00:00,3.067,3.0752,3.0629,3.0737,1230,150,0
2007-08-31 12:00:00,3.0741,3.0785,3.0719,3.0745,1308,150,0
2007-08-31 16:00:00,3.0729,3.079,3.0677,3.0767,1236,150,0
2007-08-31 20:00:00,3.0765,3.0791,3.0724,3.0773,545,150,0
2007-09-03 00:00:00,3.0752,3.0797,3.0693,3.0715,603,150,0
2007-09-03 04:00:00,3.0714,3.0747,3.0671,3.0747,646,150,0
2007-09-03 08:00:00,3.0746,3.0772,3.0698,3.0704,1098,150,0
2007-09-03 12:00:00,3.0714,3.0742,3.0689,3.0736,864,150,0
2007-09-03 16:00:00,3.0734,3.0772,3.0715,3.0772,746,150,0
2007-09-03 20:00:00,3.0761,3.0774,3.0739,3.0754,476,150,0
2007-09-04 00:00:00,3.0749,3.077,3.0666,3.0703,649,150,0
2007-09-04 04:00:00,3.0708,3.0758,3.07,3.0738,710,150,0
2007-09-04 08:00:00,3.073,3.0802,3.0715,3.0766,1163,150,0
2007-09-04 12:00:00,3.0764,3.0786,3.0672,3.0694,1159,150,0
2007-09-04 16:00:00,3.07,3.0765,3.0674,3.0738,1069,150,0
2007-09-04 20:00:00,3.0733,3.0759,3.0696,3.0717,668,150,0
2007-09-05 00:00:00,3.0719,3.0743,3.0694,3.0735,636,150,0
2007-09-05 04:00:00,3.0736,3.076,3.067,3.0699,941,150,0
2007-09-05 08:00:00,3.0698,3.0715,3.0614,3.0709,1248,150,0
2007-09-05 12:00:00,3.0711,3.0753,3.0677,3.0718,1162,150,0
2007-09-05 16:00:00,3.0719,3.0894,3.0719,3.0873,1168,150,0
2007-09-05 20:00:00,3.087,3.087,3.0808,3.0843,721,150,0
2007-09-06 00:00:00,3.0852,3.0869,3.0826000000000002,3.0843,628,150,0
2007-09-06 04:00:00,3.0844,3.0875,3.0818,3.0864,803,150,0
2007-09-06 08:00:00,3.0861,3.0914,3.0838,3.0886,1240,150,0
2007-09-06 12:00:00,3.0885,3.0917,3.0724,3.0752,1423,150,0
2007-09-06 16:00:00,3.0749,3.086,3.073,3.0794,1208,150,0
2007-09-06 20:00:00,3.0795,3.0825,3.0777,3.0817,645,150,0
2007-09-07 00:00:00,3.0814,3.0871,3.0763,3.0773,766,150,0
2007-09-07 04:00:00,3.0772,3.0828,3.0747,3.0793,754,150,0
2007-09-07 08:00:00,3.0795,3.0836,3.0749,3.0824,926,150,0
2007-09-07 12:00:00,3.0823,3.0971,3.0777,3.0899,1042,150,0
2007-09-07 16:00:00,3.0897,3.0957,3.085,3.0916,1146,150,0
2007-09-07 20:00:00,3.0915,3.0951,3.0883,3.095,561,150,0
2007-09-10 00:00:00,3.0934,3.0987999999999998,3.092,3.0977,1179,150,0
2007-09-10 04:00:00,3.098,3.0987,3.0927,3.0953,1048,150,0
2007-09-10 08:00:00,3.0954,3.0967,3.0871,3.0945,3678,150,0
2007-09-10 12:00:00,3.0943,3.0967,3.0914,3.0931,2625,150,0
2007-09-10 16:00:00,3.0932,3.0945,3.088,3.0891,1716,150,0
2007-09-10 20:00:00,3.0883,3.0911,3.0876,3.0889,571,150,0
2007-09-11 00:00:00,3.089,3.0913,3.0836,3.0866,632,150,0
2007-09-11 04:00:00,3.0867,3.0891,3.0848,3.0858,713,150,0
2007-09-11 08:00:00,3.0861,3.0929,3.0822,3.0897,1151,150,0
2007-09-11 12:00:00,3.0894,3.0975,3.0891,3.0911,1249,150,0
2007-09-11 16:00:00,3.091,3.0914,3.0821,3.0854,1144,150,0
2007-09-11 20:00:00,3.0855,3.0896,3.083,3.0865,738,150,0
2007-09-12 00:00:00,3.0867,3.089,3.0774,3.081,782,150,0
2007-09-12 04:00:00,3.0808,3.0885,3.0791,3.0863,801,150,0
2007-09-12 08:00:00,3.0861,3.0891,3.0788,3.083,1204,150,0
2007-09-12 12:00:00,3.0824,3.0857,3.0733,3.0746,1264,150,0
2007-09-12 16:00:00,3.0745,3.079,3.07,3.0712,1278,150,0
2007-09-12 20:00:00,3.0702,3.0723,3.0682,3.0702,734,150,0
2007-09-13 00:00:00,3.0715,3.0728,3.0631,3.064,1203,150,0
2007-09-13 04:00:00,3.0639,3.0699,3.0634,3.067,934,150,0
2007-09-13 08:00:00,3.0671,3.0689,3.0555,3.0589,3968,150,0
2007-09-13 12:00:00,3.059,3.0636,3.0549,3.057,4378,150,0
2007-09-13 16:00:00,3.0569,3.071,3.0568,3.069,1587,150,0
2007-09-13 20:00:00,3.068,3.0693,3.0517,3.0518,960,150,0
2007-09-14 00:00:00,3.0524,3.0574,3.0488,3.0528,911,150,0
2007-09-14 04:00:00,3.0529,3.055,3.0488,3.0536,814,150,0
2007-09-14 08:00:00,3.0535,3.0548,3.0452,3.0496,4476,150,0
2007-09-14 12:00:00,3.0495,3.0502,3.0367,3.0418,3534,150,0
2007-09-14 16:00:00,3.0417,3.044,3.0321,3.0381,1113,150,0
2007-09-14 20:00:00,3.0373,3.0407,3.0304,3.0365,575,150,0
2007-09-17 00:00:00,3.0318,3.0357,3.0317,3.0353,927,150,0
2007-09-17 04:00:00,3.0354,3.0415,3.0345,3.0396,1001,150,0
2007-09-17 08:00:00,3.0397,3.0405,3.024,3.0266,4428,150,0
2007-09-17 12:00:00,3.0267,3.0328,3.0258,3.0323,3481,150,0
2007-09-17 16:00:00,3.0322,3.0342,3.0168,3.0227,3485,150,0
2007-09-17 20:00:00,3.0228,3.025,3.0213,3.0236,864,150,0
2007-09-18 00:00:00,3.0244,3.0276,3.0165,3.019,1412,150,0
2007-09-18 04:00:00,3.0194,3.0219,3.0154,3.0171,1378,150,0
2007-09-18 08:00:00,3.0172,3.0298,3.0162,3.0223,4219,150,0
2007-09-18 12:00:00,3.0222,3.0316,3.0161,3.0288,3832,150,0
2007-09-18 16:00:00,3.0289,3.0362999999999998,3.0281,3.0321,2285,150,0
2007-09-18 20:00:00,3.0322,3.0464,3.0309,3.0365,3255,150,0
2007-09-19 00:00:00,3.0366,3.0403000000000002,3.0289,3.0328,1424,150,0
2007-09-19 04:00:00,3.0327,3.04,3.0311,3.0369,1629,150,0
2007-09-19 08:00:00,3.0368,3.0413,3.0161,3.0162,4840,150,0
2007-09-19 12:00:00,3.0161,3.0231,3.0094,3.0152,4334,150,0
2007-09-19 16:00:00,3.015,3.017,3.0076,3.0163,3049,150,0
2007-09-19 20:00:00,3.0162,3.0194,3.013,3.0142,1218,150,0
2007-09-20 00:00:00,3.0144,3.0168,3.0126,3.013,485,150,0
2007-09-20 04:00:00,3.0132,3.0156,3.008,3.0122,1321,150,0
2007-09-20 08:00:00,3.0124,3.0228,3.011,3.0197,5094,150,0
2007-09-20 12:00:00,3.0196,3.0224,3.0164,3.0223,3501,150,0
2007-09-20 16:00:00,3.0224,3.0276,3.0171,3.0199,3699,150,0
2007-09-20 20:00:00,3.02,3.0271,3.0185,3.023,1073,150,0
2007-09-21 00:00:00,3.0231,3.0279,3.0195,3.0272,1126,150,0
2007-09-21 04:00:00,3.0273,3.0276,3.02,3.022,962,150,0
2007-09-21 08:00:00,3.0219,3.039,3.019,3.0389,4414,150,0
2007-09-21 12:00:00,3.0393,3.0394,3.0324,3.0357,3710,150,0
2007-09-21 16:00:00,3.0358,3.0424,3.0352,3.0398,2794,150,0
2007-09-21 20:00:00,3.0396,3.0424,3.0385,3.0407,983,150,0
2007-09-24 00:00:00,3.0409,3.049,3.0371,3.0471,907,150,0
2007-09-24 04:00:00,3.047,3.0517,3.0445,3.0517,583,150,0
2007-09-24 08:00:00,3.0515,3.0538,3.0352,3.0374,2275,150,0
2007-09-24 12:00:00,3.0373,3.0404,3.0289,3.0297,3229,150,0
2007-09-24 16:00:00,3.0296,3.0342,3.0284,3.0324,2229,150,0
2007-09-24 20:00:00,3.0326,3.0338,3.0289,3.03,1058,150,0
2007-09-25 00:00:00,3.0301,3.0309,3.0206,3.0223,1824,150,0
2007-09-25 04:00:00,3.0222,3.0232,3.0172,3.0199,1460,150,0
2007-09-25 08:00:00,3.02,3.0228,3.0161,3.0165,4054,150,0
2007-09-25 12:00:00,3.0167,3.0316,3.0151,3.0291,4011,150,0
2007-09-25 16:00:00,3.0295,3.033,3.026,3.0293,3103,150,0
2007-09-25 20:00:00,3.0294,3.031,3.025,3.0255,975,150,0
2007-09-26 00:00:00,3.0251,3.0304,3.0204,3.0204,1155,150,0
2007-09-26 04:00:00,3.0202,3.0249,3.0186,3.0201,1340,150,0
2007-09-26 08:00:00,3.02,3.0224,3.0102,3.0133,3621,150,0
2007-09-26 12:00:00,3.0131,3.0235,3.0085,3.0196,4252,150,0
2007-09-26 16:00:00,3.0195,3.0216,3.0149,3.0175,2554,150,0
2007-09-26 20:00:00,3.0176,3.0198,3.0162,3.0183,1006,150,0
2007-09-27 00:00:00,3.0182,3.0191,3.0088,3.0093,694,150,0
2007-09-27 04:00:00,3.0094,3.0145,3.0056,3.0119,1478,150,0
2007-09-27 08:00:00,3.012,3.023,3.0114,3.0187,4046,150,0
2007-09-27 12:00:00,3.0188,3.0246,3.0137,3.0205,4400,150,0
2007-09-27 16:00:00,3.0209,3.0217,3.0128,3.0191,3771,150,0
2007-09-27 20:00:00,3.0189,3.022,3.0169,3.0199,1170,150,0
2007-09-28 00:00:00,3.0197,3.0243,3.0136,3.0144,1358,150,0
2007-09-28 04:00:00,3.0145,3.0184,3.011,3.0128,1655,150,0
2007-09-28 08:00:00,3.013,3.0201,3.0093,3.0156,4348,150,0
2007-09-28 12:00:00,3.0155,3.0255,3.0135,3.019,4726,150,0
2007-09-28 16:00:00,3.0195,3.0366,3.0135,3.0354,4648,150,0
2007-09-28 20:00:00,3.0357,3.0434,3.0352,3.0401,1568,150,0
2007-10-01 00:00:00,3.0389,3.0416,3.0238,3.0267,1072,150,0
2007-10-01 04:00:00,3.0266,3.0285,3.0213,3.0239,1412,150,0
2007-10-01 08:00:00,3.0238,3.0303,3.0152,3.0155,3893,150,0
2007-10-01 12:00:00,3.0156,3.023,3.0136,3.0154,3706,150,0
2007-10-01 16:00:00,3.015,3.0215,3.0097,3.0155,3065,150,0
2007-10-01 20:00:00,3.0154,3.0194,3.014,3.0172,1104,150,0
2007-10-02 00:00:00,3.0174,3.0204,3.0145,3.0192,923,150,0
2007-10-02 04:00:00,3.0193,3.0211,3.0165,3.0172,1384,150,0
2007-10-02 08:00:00,3.0174,3.0254,3.016,3.0239,4224,150,0
2007-10-02 12:00:00,3.0238,3.0304,3.02,3.0299,4171,150,0
2007-10-02 16:00:00,3.0308,3.0332,3.0257,3.0271,2761,150,0
2007-10-02 20:00:00,3.0272,3.0277,3.0227,3.0234,858,150,0
2007-10-03 00:00:00,3.0231,3.0299,3.0216,3.0252,1025,150,0
2007-10-03 04:00:00,3.0253,3.0273,3.0168,3.0192,1547,150,0
2007-10-03 08:00:00,3.0194,3.0224,3.0091,3.0166,4291,150,0
2007-10-03 12:00:00,3.0167,3.0209,3.01,3.0145,3073,150,0
2007-10-03 16:00:00,3.0146,3.0154,3.0092,3.0124,3675,150,0
2007-10-03 20:00:00,3.0123,3.0125,3.0085,3.0104,1305,150,0
2007-10-04 00:00:00,3.0105,3.0173,3.0098,3.0134,1050,150,0
2007-10-04 04:00:00,3.0133,3.0188,3.0125,3.0132,1697,150,0
2007-10-04 08:00:00,3.0134,3.0142,3.0042,3.0117,3639,150,0
2007-10-04 12:00:00,3.0118,3.0186,3.0062,3.0158,4926,150,0
2007-10-04 16:00:00,3.0163,3.0214,3.0149,3.0172,3271,150,0
2007-10-04 20:00:00,3.0171,3.0208,3.0154,3.0188,1096,150,0
2007-10-05 00:00:00,3.019,3.0215,3.0142,3.0145,919,150,0
2007-10-05 04:00:00,3.0146,3.0147,3.0105,3.0131,808,150,0
2007-10-05 08:00:00,3.013,3.0132,2.9999000000000002,3.0004,3603,150,0
2007-10-05 12:00:00,3.0002,3.0098,2.9946,3.0049,5634,150,0
2007-10-05 16:00:00,3.0045,3.0107,3.0028,3.0037,1705,150,0
2007-10-05 20:00:00,3.0035,3.0064,3.0028,3.0058,338,150,0
2007-10-08 00:00:00,3.005,3.0059,2.9984,2.9997,585,150,0
2007-10-08 04:00:00,2.9996,3.0025,2.9969,2.9979,470,150,0
2007-10-08 08:00:00,2.998,3.0032,2.9961,2.9985,1154,150,0
2007-10-08 12:00:00,2.9988,3.0041,2.9984,2.9985,898,150,0
2007-10-08 16:00:00,2.9984,3.0013,2.9958,2.9973,1648,150,0
2007-10-08 20:00:00,2.9972,3.0036,2.997,3.0007,448,150,0
2007-10-09 00:00:00,3.0001,3.0002,2.997,2.9992,42,150,0
