time,open,high,low,close,tick_volume,spread,real_volume
2008-05-15 00:00:00,23.799,23.805,23.788,23.803,21,0,0
2008-05-15 04:00:00,23.804,23.826,23.734,23.76,813,0,0
2008-05-15 08:00:00,23.761,23.774,23.712,23.767,2468,0,0
2008-05-15 12:00:00,23.767,23.778,23.736,23.761,2822,0,0
2008-05-15 16:00:00,23.761,23.817,23.744,23.803,4005,0,0
2008-05-15 20:00:00,23.804,23.809,23.78,23.8,2278,0,0
2008-05-16 00:00:00,23.799,23.806,23.774,23.779,2381,0,0
2008-05-16 04:00:00,23.781,23.781,23.743,23.754,2369,0,0
2008-05-16 08:00:00,23.754,23.776,23.688,23.698,1983,0,0
2008-05-16 12:00:00,23.698,23.72,23.678,23.688,2384,0,0
2008-05-16 16:00:00,23.685,23.688,23.591,23.608,1119,0,0
2008-05-16 20:00:00,23.607,23.625,23.6,23.614,190,0,0
2008-05-19 00:00:00,23.597,23.631,23.597,23.625,109,0,0
2008-05-19 04:00:00,23.626,23.632,23.602,23.61,153,0,0
2008-05-19 08:00:00,23.609,23.654,23.592,23.611,1330,0,0
2008-05-19 12:00:00,23.611,23.656,23.61,23.651,1305,0,0
2008-05-19 16:00:00,23.651,23.711,23.651,23.694,1930,0,0
2008-05-19 20:00:00,23.693,23.703,23.684,23.689,180,0,0
2008-05-20 00:00:00,23.676,23.694,23.662,23.672,101,0,0
2008-05-20 04:00:00,23.671,23.692,23.655,23.672,167,0,0
2008-05-20 08:00:00,23.672,23.672,23.576999999999998,23.588,1770,0,0
2008-05-20 12:00:00,23.588,23.619,23.556,23.591,2884,0,0
2008-05-20 16:00:00,23.591,23.619,23.578,23.592,1787,0,0
2008-05-20 20:00:00,23.593,23.608,23.586,23.596,80,0,0
2008-05-21 00:00:00,23.603,23.609,23.573,23.581,120,0,0
2008-05-21 04:00:00,23.579,23.596,23.569,23.586,187,0,0
2008-05-21 08:00:00,23.586,23.607,23.514,23.534,1231,0,0
2008-05-21 12:00:00,23.527,23.534,23.476,23.491,1742,0,0
2008-05-21 16:00:00,23.489,23.503,23.472,23.481,2058,0,0
2008-05-21 20:00:00,23.48,23.496,23.455,23.458,243,0,0
2008-05-22 00:00:00,23.467,23.469,23.449,23.457,113,0,0
2008-05-22 04:00:00,23.455,23.485,23.454,23.473,210,0,0
2008-05-22 08:00:00,23.469,23.503,23.457,23.492,1117,0,0
2008-05-22 12:00:00,23.495,23.507,23.469,23.497,1954,0,0
2008-05-22 16:00:00,23.498,23.532,23.497,23.519,2404,0,0
2008-05-22 20:00:00,23.519,23.54,23.502,23.504,95,0,0
2008-05-23 00:00:00,23.501,23.52,23.489,23.5,188,0,0
2008-05-23 04:00:00,23.512,23.515,23.492,23.499,230,0,0
2008-05-23 08:00:00,23.498,23.517,23.467,23.483,931,0,0
2008-05-23 12:00:00,23.483,23.517,23.438,23.451,2042,0,0
2008-05-23 16:00:00,23.452,23.463,23.413,23.427,2944,0,0
2008-05-23 20:00:00,23.426,23.453,23.41,23.444,90,0,0
2008-05-26 00:00:00,23.46,23.464,23.417,23.441,117,0,0
2008-05-26 04:00:00,23.441,23.469,23.328,23.45,561,0,0
2008-05-26 08:00:00,23.457,23.468,23.44,23.446,3167,0,0
2008-05-26 12:00:00,23.447,23.455,23.42,23.429,2742,0,0
2008-05-26 16:00:00,23.424,23.446,23.405,23.418,210,0,0
2008-05-26 20:00:00,23.417,23.438,23.41,23.421,41,0,0
2008-05-27 00:00:00,23.409,23.432,23.389,23.404,104,0,0
2008-05-27 04:00:00,23.399,23.417,23.377,23.382,277,0,0
2008-05-27 08:00:00,23.389,23.484,23.38,23.459,1234,0,0
2008-05-27 12:00:00,23.463,23.509,23.446,23.496,1401,0,0
2008-05-27 16:00:00,23.495,23.517,23.482,23.499,2013,0,0
2008-05-27 20:00:00,23.5,23.537,23.497,23.537,192,0,0
2008-05-28 00:00:00,23.514,23.541,23.513,23.519,110,0,0
2008-05-28 04:00:00,23.518,23.524,23.495,23.499,171,0,0
2008-05-28 08:00:00,23.499,23.511,23.467,23.504,1666,0,0
2008-05-28 12:00:00,23.504,23.545,23.496,23.515,2840,0,0
2008-05-28 16:00:00,23.514,23.547,23.497,23.532,4444,0,0
2008-05-28 20:00:00,23.532,23.54,23.51,23.524,2178,0,0
2008-05-29 00:00:00,23.521,23.524,23.502,23.511,2088,0,0
2008-05-29 04:00:00,23.511,23.554,23.506,23.546,2236,0,0
2008-05-29 08:00:00,23.544,23.592,23.544,23.576,1005,0,0
2008-05-29 12:00:00,23.576999999999998,23.614,23.565,23.611,1395,0,0
2008-05-29 16:00:00,23.606,23.643,23.585,23.639,1642,0,0
